0.00000000000000e+00    	0.00000000000000e+00 	 9.27050983120000e-01  	-2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.59000000000000e+00    	-1.67210352895454e-05 	 9.27313841003302e-01   -2.85316957622432e+00 	3.34058919244408e-05	 -1.18334282435273e-03	-9.24029497723340e-08		1.00000070070786e+00
1.62000000000000e+00    	-1.53612334620713e-05 	 9.27271987598885e-01   -2.85316957897658e+00 	5.74341031184227e-05	 -1.60598130207332e-03	-9.19467838164640e-08		1.00000129123648e+00
1.65000000000000e+00    	-1.32683165165468e-05 	 9.27217625598034e-01   -2.85316958181272e+00 	8.21251846945179e-05	 -2.01424189220810e-03	-9.86530977248386e-08		1.00000203195541e+00
1.68000000000000e+00    	-1.04370521291547e-05 	 9.27151462885559e-01   -2.85316958500625e+00 	1.06480576736951e-04	 -2.38952700462618e-03	-1.16390184171287e-07		1.00000286058462e+00
1.71000000000000e+00    	-6.89393410617111e-06 	 9.27074776287272e-01   -2.85316958893978e+00 	1.29390384567770e-04	 -2.71262814824293e-03	-1.48452808974589e-07		1.00000368753988e+00
1.74000000000000e+00    	-2.69986434403384e-06 	 9.26989418318431e-01   -2.85316959407781e+00 	1.49679213205379e-04	 -2.96451113656628e-03	-1.96896030670513e-07		1.00000440535539e+00
1.77000000000000e+00    	2.04870999505236e-06 	 9.26897799281494e-01   -2.85316960092025e+00 	1.66162958456869e-04	 -3.12716933292605e-03	-2.61940044082330e-07		1.00000490338710e+00
1.80000000000000e+00    	7.22049304675511e-06 	 9.26802843153857e-01   -2.85316960994076e+00 	1.77713683925365e-04	 -3.18451216449998e-03	-3.41567608580192e-07		1.00000508633706e+00
1.83000000000000e+00    	1.26520532672873e-05 	 9.26707916756664e-01   -2.85316962151722e+00 	1.83328402615144e-04	 -3.12325180433743e-03	-4.31426773203256e-07		1.00000489414368e+00
1.86000000000000e+00    	1.81525940578507e-05 	 9.26616732854999e-01   -2.85316963586505e+00 	1.82196567132530e-04	 -2.93374796627869e-03	-5.25120567043838e-07		1.00000432002717e+00
1.89000000000000e+00    	2.35106581559859e-05 	 9.26533229063616e-01   -2.85316965298541e+00 	1.73760554568404e-04	 -2.61076940125812e-03	-6.14913356308671e-07		1.00000342314913e+00
1.92000000000000e+00    	2.85024709420806e-05 	 9.26461425670878e-01   -2.85316967264047e+00 	1.57763567207919e-04	 -2.15413109009148e-03	-6.92816014529951e-07		1.00000233258257e+00
1.95000000000000e+00    	3.29014716734579e-05 	 9.26405266693342e-01   -2.85316969436562e+00 	1.34280235177930e-04	 -1.56916839825994e-03	-7.51938071240401e-07		1.00000124015984e+00
1.98000000000000e+00    	3.64884620997564e-05 	 9.26368449578497e-01   -2.85316971752407e+00 	1.03726773121959e-04	 -8.67013623117651e-04	-7.87926607263345e-07		1.00000038123617e+00
2.01000000000000e+00    	3.90617380261754e-05 	 9.26354249927640e-01   -2.85316974140306e+00 	6.68496628641700e-05	 -6.46463788842775e-05	-8.00262045624678e-07		1.00000000432434e+00
2.04000000000000e+00    	4.04465741845868e-05 	 9.26365348360277e-01   -2.85316976534373e+00 	2.46942487550878e-05	 8.15302994779406e-04	-7.93162359790091e-07		1.00000033266465e+00
2.07000000000000e+00    	4.05035101687027e-05 	 9.26403667135584e-01   -2.85316978888929e+00 	-2.14430019246038e-05	 1.74500855752114e-03	-7.75868462893210e-07		1.00000152275648e+00
2.10000000000000e+00    	3.91350281100619e-05 	 9.26470224342178e-01   -2.85316981193040e+00 	-7.00728869107604e-05	 2.69216350376461e-03	-7.62148037300511e-07		1.00000362632099e+00
2.13000000000000e+00    	3.62904028283861e-05 	 9.26565013331614e-01   -2.85316983482293e+00 	-1.19575676279519e-04	 3.62094426262257e-03	-7.68959168195798e-07		1.00000656274661e+00
2.16000000000000e+00    	3.19687142987552e-05 	 9.26686914583925e-01   -2.85316985845392e+00 	-1.68260231719595e-04	 4.49320200052650e-03	-8.14347644653677e-07		1.00001010853710e+00
2.19000000000000e+00    	2.62202062205209e-05 	 9.26833646351302e-01   -2.85316988423535e+00 	-2.14414238797446e-04	 5.26984796713171e-03	-9.14794623725919e-07		1.00001390853923e+00
2.22000000000000e+00    	1.91463180772243e-05 	 9.27001759242346e-01   -2.85316991401439e+00 	-2.56341978983754e-04	 5.91238818704774e-03	-1.08236165137834e-06		1.00001751086991e+00
2.25000000000000e+00    	1.08987813398409e-05 	 9.27186678415697e-01   -2.85316994990037e+00 	-2.92389133018320e-04	 6.38455326589753e-03	-1.32207334821358e-06		1.00002042379821e+00
2.28000000000000e+00    	1.67813465649565e-06 	 9.27382795295962e-01   -2.85316999402273e+00 	-3.20957543385281e-04	 6.65396106415606e-03	-1.63001235973285e-06		1.00002218886095e+00
2.31000000000000e+00    	-8.26812448029805e-06 	 9.27583608768180e-01   -2.85317004824811e+00 	-3.40516069397907e-04	 6.69374415364323e-03	-1.99256100263947e-06		1.00002246083073e+00
2.34000000000000e+00    	-1.86477563817603e-05 	 9.27781913721338e-01   -2.85317011389598e+00 	-3.49615994741630e-04	 6.48407068805569e-03	-2.38710425104195e-06		1.00002108248263e+00
2.37000000000000e+00    	-2.91266405951406e-05 	 9.27970032675065e-01   -2.85317019149912e+00 	-3.46920306246230e-04	 6.01348687750693e-03	-2.78431688291525e-06		1.00001814102839e+00
2.40000000000000e+00    	-3.93328287114762e-05 	 9.28140084119636e-01   -2.85317028065527e+00 	-3.31255139858115e-04	 5.28001184743853e-03	-3.15191473521582e-06		1.00001399403459e+00
