0.00000000000000e+00    	0.00000000000000e+00 	 -9.51056516300000e-01  	3.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.91000000000000e+00    	2.84907319475148e-03 	 -9.49751924160042e-01   3.08710447769119e-01 	1.02713413853631e-02	 9.41369835632521e-02	-1.12734887133375e-03		1.00447426201159e+00
2.94000000000000e+00    	3.13058536256453e-03 	 -9.46886925982478e-01   3.08674977960379e-01 	8.48320418111845e-03	 9.72181405085206e-02	-1.24190988007299e-03		1.00475115025426e+00
2.97000000000000e+00    	3.34979866214813e-03 	 -9.43979165628763e-01   3.08636720415826e-01 	6.10503125390976e-03	 9.69822337384868e-02	-1.31258749912724e-03		1.00471117638526e+00
3.00000000000000e+00    	3.48983671003980e-03 	 -9.41130017027000e-01   3.08597102498758e-01 	3.19225945275735e-03	 9.32290692296704e-02	-1.33177148204913e-03		1.00434238359492e+00
3.03000000000000e+00    	3.53630373820906e-03 	 -9.38445311495381e-01   3.08557675774969e-01 	-1.38185084860306e-04	 8.58728732286925e-02	-1.29901499799491e-03		1.00368115300210e+00
3.06000000000000e+00    	3.47911187564369e-03 	 -9.36032035472409e-01   3.08519888282741e-01 	-3.70882229854415e-03	 7.49551981041686e-02	-1.22211029595740e-03		1.00281280937135e+00
3.09000000000000e+00    	3.31420757810942e-03 	 -9.33994557208693e-01   3.08484838359352e-01 	-7.29055643101134e-03	 6.06555851055117e-02	-1.11707921314395e-03		1.00186501090892e+00
3.12000000000000e+00    	3.04495004084657e-03 	 -9.32430376772073e-01   3.08453044242263e-01 	-1.06199162579141e-02	 4.32985315328501e-02	-1.00687556699543e-03		1.00099378582119e+00
3.15000000000000e+00    	2.68288044602201e-03 	 -9.31425498321052e-01   3.08424269319744e-01 	-1.34237084622029e-02	 2.33548139782713e-02	-9.18759499316892e-04		1.00036317775289e+00
3.18000000000000e+00    	2.24765142301503e-03 	 -9.31049666400081e-01   3.08397442844288e-01 	-1.54487511805781e-02	 1.43509701613638e-03	-8.80537064890640e-04		1.00012074209168e+00
3.21000000000000e+00    	1.76597662286099e-03 	 -9.31351851721342e-01   3.08370707085434e-01 	-1.64929091937117e-02	 -2.17257745368936e-02	-9.16130969961248e-04		1.00037236298733e+00
3.24000000000000e+00    	1.26961070252433e-03 	 -9.32356463422815e-01   3.08341603013607e-01 	-1.64326272345851e-02	 -4.52942747220398e-02	-1.04119241491639e-03		1.00116066974391e+00
3.27000000000000e+00    	7.92555245833835e-04 	 -9.34060753645817e-01   3.08307380001283e-01 	-1.52420126220393e-02	 -6.83723621415133e-02	-1.25958989991346e-03		1.00245133818071e+00
3.30000000000000e+00    	3.67858071799334e-04 	 -9.36433744558411e-01   3.08265387067547e-01 	-1.29995250302237e-02	 -9.00375580319974e-02	-1.56154555857169e-03		1.00413056318982e+00
3.33000000000000e+00    	2.44775773234380e-05 	 -9.39416773494295e-01   3.08213482346628e-01 	-9.88037662468701e-03	 -1.09385078489801e-01	-1.92391991753653e-03		1.00601511852771e+00
3.36000000000000e+00    	-2.15315293681294e-04 	 -9.42925489060827e-01   3.08150390551242e-01 	-6.13531009426073e-03	 -1.25568002213780e-01	-2.31273768196205e-03		1.00787415581783e+00
3.39000000000000e+00    	-3.37625636223548e-04 	 -9.46852926435419e-01   3.08075947011718e-01 	-2.05878844570378e-03	 -1.37832306809216e-01	-2.68762061123226e-03		1.00945985889225e+00
3.42000000000000e+00    	-3.37507374844282e-04 	 -9.51073208061532e-01   3.07991187428083e-01 	2.04878565169707e-03	 -1.45545152191600e-01	-3.00746736510720e-03		1.01054274214853e+00
3.45000000000000e+00    	-2.18392011383202e-04 	 -9.55445473674843e-01   3.07898267483661e-01 	5.91961179363417e-03	 -1.48216481253001e-01	-3.23655817871359e-03		1.01094690386175e+00
3.48000000000000e+00    	9.50567245963519e-06 	 -9.59817810799210e-01   3.07800219220634e-01 	9.35280732257758e-03	 -1.45515307723869e-01	-3.35025585553580e-03		1.01058072611795e+00
3.51000000000000e+00    	3.31578980157568e-04 	 -9.64031174913320e-01   3.07700568346347e-01 	1.22401624185805e-02	 -1.37282617479634e-01	-3.33956585380534e-03		1.00945900924118e+00
3.54000000000000e+00    	7.31721218428840e-04 	 -9.67923491839792e-01   3.07602849255234e-01 	1.45797636789378e-02	 -1.23542507260135e-01	-3.21394293425052e-03		1.00771307922356e+00
