1.44000000000000e+00    	6.66956302248867e-05 	 1.00022598197662e+00   0.00000000000000e+00 	3.60221928227162e-05	 5.45782610777274e-03	0.00000000000000e+00		1.00001489447079e+00
1.47000000000000e+00    	6.67259295269038e-05 	 1.00039466124686e+00   0.00000000000000e+00 	-3.55676970880457e-05	 5.75814029133871e-03	0.00000000000000e+00		1.00001657858491e+00
1.50000000000000e+00    	6.44766096453945e-05 	 1.00056953210262e+00   0.00000000000000e+00 	-1.15634450125844e-04	 5.86533934397899e-03	0.00000000000000e+00		1.00001720764042e+00
1.53000000000000e+00    	5.97256905049552e-05 	 1.00074435156723e+00   0.00000000000000e+00 	-2.01906640220006e-04	 5.75034081225550e-03	0.00000000000000e+00		1.00001655345587e+00
1.56000000000000e+00    	5.23298809192271e-05 	 1.00091209497740e+00   0.00000000000000e+00 	-2.91408479129638e-04	 5.39041610944040e-03	0.00000000000000e+00		1.00001457064622e+00
1.59000000000000e+00    	4.22455115073471e-05 	 1.00106517321944e+00   0.00000000000000e+00 	-3.80481671963737e-04	 4.77094758650717e-03	0.00000000000000e+00		1.00001145328800e+00
1.62000000000000e+00    	2.95479694980248e-05 	 1.00119570005522e+00   0.00000000000000e+00 	-4.64865801980392e-04	 3.88699503580262e-03	0.00000000000000e+00		1.00000766238596e+00
1.65000000000000e+00    	1.44477172473884e-05 	 1.00129580246153e+00   0.00000000000000e+00 	-5.39847237697998e-04	 2.74457859820634e-03	0.00000000000000e+00		1.00000391206571e+00
1.68000000000000e+00    	-2.69923650718362e-06 	 1.00135796416977e+00   0.00000000000000e+00 	-6.00480159767549e-04	 1.36158956498974e-03	0.00000000000000e+00		1.00000110725067e+00
1.71000000000000e+00    	-2.13885264584999e-05 	 1.00137539004427e+00   0.00000000000000e+00 	-6.41874474982252e-04	 -2.31750214287707e-04	0.00000000000000e+00		1.00000023285547e+00
