0.00000000000000e+00    	0.00000000000000e+00 	 5.70633909780000e+00  	1.85410196620000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
6.00000000000000e-01    	1.54749632551357e-06 	 5.70633529232662e+00   1.85410196620693e+00 	1.62844973278616e-05	 -4.96015757850762e-06	7.04374403002247e-11		1.00000000014489e+00
6.30000000000000e-01    	2.08353373638422e-06 	 5.70633528364238e+00   1.85410196620907e+00 	1.94401949985058e-05	 4.97445971732819e-06	7.07525938082317e-11		1.00000000020133e+00
6.60000000000000e-01    	2.71206182356560e-06 	 5.70633562818034e+00   1.85410196621106e+00 	2.24096856613894e-05	 1.86423187682310e-05	5.97882901268862e-11		1.00000000042487e+00
6.90000000000000e-01    	3.42359029762118e-06 	 5.70633644193947e+00   1.85410196621255e+00 	2.49254082827032e-05	 3.62787927332719e-05	3.79077802405073e-11		1.00000000096871e+00
7.20000000000000e-01    	4.19999403095452e-06 	 5.70633784488744e+00   1.85410196621329e+00 	2.66810132475398e-05	 5.79043876980328e-05	1.17886095891779e-11		1.00000000203240e+00
7.50000000000000e-01    	5.01352802863263e-06 	 5.70633995376161e+00   1.85410196621337e+00 	2.73439838223544e-05	 8.32756823666382e-05	-2.44351884705219e-12		1.00000000384127e+00
7.80000000000000e-01    	5.82628390437299e-06 	 5.70634287352117e+00   1.85410196621354e+00 	2.65723950615609e-05	 1.11845147685173e-04	2.32872602232326e-11		1.00000000660771e+00
8.10000000000000e-01    	6.59020568881965e-06 	 5.70634668777842e+00   1.85410196621557e+00 	2.40353403738868e-05	 1.42733940741396e-04	1.29867652627312e-10		1.00000001047534e+00
8.40000000000000e-01    	7.24776421821526e-06 	 5.70635144865644e+00   1.85410196622265e+00 	1.94362581141179e-05	 1.74721461420534e-04	3.69176137799414e-10		1.00000001545268e+00
8.70000000000000e-01    	7.73336203248432e-06 	 5.70635716662598e+00   1.85410196623963e+00 	1.25381087247969e-05	 2.06254879588755e-04	7.98790662525370e-10		1.00000002134914e+00
9.00000000000000e-01    	7.97550539926233e-06 	 5.70636380095850e+00   1.85410196627303e+00 	3.18910480082970e-06	 2.35480995249252e-04	1.47299300065739e-09		1.00000002773073e+00
9.30000000000000e-01    	7.89973804040478e-06 	 5.70637125148747e+00   1.85410196633085e+00 	-8.65250121584420e-06	 2.60301710910360e-04	2.43069724091208e-09		1.00000003391592e+00
9.60000000000000e-01    	7.43228411728132e-06 	 5.70637935238982e+00   1.85410196642182e+00 	-2.28961989960644e-05	 2.78453117064907e-04	3.68197116484614e-09		1.00000003903019e+00
9.90000000000000e-01    	6.50429820208222e-06 	 5.70638786867829e+00   1.85410196655441e+00 	-3.93012525429960e-05	 2.87606775552979e-04	5.19584765118477e-09		1.00000004213112e+00
1.02000000000000e+00    	5.05656984670028e-06 	 5.70639649603083e+00   1.85410196673542e+00 	-5.74646276023799e-05	 2.85490301377123e-04	6.89287761365079e-09		1.00000004240345e+00
1.05000000000000e+00    	3.04448274468778e-06 	 5.70640486447410e+00   1.85410196696856e+00 	-7.68163273240974e-05	 2.70022870341282e-04	8.64607548545297e-09		1.00000003940655e+00
1.08000000000000e+00    	4.42986314444903e-07 	 5.70641254628577e+00   1.85410196725313e+00 	-9.66234175899309e-05	 2.39459902518698e-04	1.02933149821993e-08		1.00000003333856e+00
1.11000000000000e+00    	-2.74869619221397e-06 	 5.70641906828948e+00   1.85410196758337e+00 	-1.16003692653294e-04	 1.92539976470165e-04	1.16627223314838e-08		1.00000002526425e+00
1.14000000000000e+00    	-6.50292133009617e-06 	 5.70642392849312e+00   1.85410196794865e+00 	-1.33949507460489e-04	 1.28626099946462e-04	1.26102387780679e-08		1.00000001724357e+00
1.17000000000000e+00    	-1.07603475057054e-05 	 5.70642661677527e+00   1.85410196833502e+00 	-1.49361796617896e-04	 4.78328756678801e-05	1.30655527636392e-08		1.00000001229847e+00
