0.00000000000000e+00    	0.00000000000000e+00 	 -5.87785252290000e-01  	-8.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
8.10000000000000e-01    	1.27212097148998e-07 	 -5.87793738376235e-01   -8.09016994431708e-01 	3.09017903218731e-05	 -9.51729890280968e-05	-6.95300704358167e-10		1.00000000500641e+00
8.40000000000000e-01    	1.19909585242569e-06 	 -5.87796819893069e-01   -8.09016994450993e-01 	4.06783480208944e-05	 -1.10061010735671e-04	-5.53148719375832e-10		1.00000000688408e+00
8.70000000000000e-01    	2.57331056496029e-06 	 -5.87800324706680e-01   -8.09016994462192e-01 	5.09911760606912e-05	 -1.23212217579358e-04	-1.40684492163663e-10		1.00000000889068e+00
9.00000000000000e-01    	4.25948895393231e-06 	 -5.87804183959272e-01   -8.09016994455858e-01 	6.13930233282004e-05	 -1.33494516586922e-04	6.28497287577466e-10		1.00000001079494e+00
9.30000000000000e-01    	6.25237435206427e-06 	 -5.87808293715366e-01   -8.09016994420306e-01 	7.13403642387186e-05	 -1.39710320093665e-04	1.81358955982778e-09		1.00000001230421e+00
9.60000000000000e-01    	8.52913450698857e-06 	 -5.87812513847098e-01   -8.09016994342778e-01 	8.02080585274726e-05	 -1.40655001306384e-04	3.42270318541923e-09		1.00000001310858e+00
9.90000000000000e-01    	1.10472222787010e-05 	 -5.87816668822661e-01   -8.09016994211322e-01 	8.73111350557617e-05	 -1.35184931959838e-04	5.39101279494368e-09		1.00000001294910e+00
1.02000000000000e+00    	1.37429933751398e-05 	 -5.87820550646967e-01   -8.09016994017211e-01 	9.19333894233437e-05	 -1.22292415064307e-04	7.56696375518106e-09		1.00000001170359e+00
1.05000000000000e+00    	1.65312754182856e-05 	 -5.87823924111922e-01   -8.09016993757581e-01 	9.33620466323203e-05	 -1.01184103647271e-04	9.71298939974890e-09		1.00000000947735e+00
1.08000000000000e+00    	1.93060535424716e-05 	 -5.87826534402054e-01   -8.09016993437752e-01 	9.09273000315101e-05	 -7.13588957805413e-05	1.15262091048857e-08		1.00000000667993e+00
1.11000000000000e+00    	2.19423957354251e-05 	 -5.87828116973984e-01   -8.09016993072596e-01 	8.40451221478664e-05	 -3.26808616385098e-05	1.26819879658720e-08		1.00000000406581e+00
1.14000000000000e+00    	2.42996873688180e-05 	 -5.87828409490859e-01   -8.09016992686260e-01 	7.22613781421433e-05	 1.45574714478488e-05	1.28991160009345e-08		1.00000000271681e+00
1.17000000000000e+00    	2.62261807341072e-05 	 -5.87827165452164e-01   -8.09016992309680e-01 	5.52949837023726e-05	 6.95861445759889e-05	1.20201656154269e-08		1.00000000394988e+00
1.20000000000000e+00    	2.75647945238054e-05 	 -5.87824169022459e-01   -8.09016991975605e-01 	3.30776585695707e-05	 1.31127511471385e-04	1.00951480694866e-08		1.00000000914428e+00
1.23000000000000e+00    	2.81600233096445e-05 	 -5.87819250437619e-01   -8.09016991711259e-01 	5.78775257537258e-06	 1.97388585241448e-04	7.45204753770221e-09		1.00000001949788e+00
1.26000000000000e+00    	2.78657418578017e-05 	 -5.87812301261671e-01   -8.09016991529321e-01 	-2.61243245408989e-05	 2.66079089163502e-04	4.73542389512874e-09		1.00000003574028e+00
1.29000000000000e+00    	2.65536175548870e-05 	 -5.87803288689115e-01   -8.09016991418450e-01 	-6.19213492304181e-05	 3.34457290682979e-04	2.89518080161647e-09		1.00000005784796e+00
1.32000000000000e+00    	2.41217803406527e-05 	 -5.87792268043158e-01   -8.09016991335067e-01 	-1.00577163047389e-04	 3.99404467840239e-04	3.11253127674594e-09		1.00000008481984e+00
1.35000000000000e+00    	2.05033472694232e-05 	 -5.87779392615407e-01   -8.09016991198370e-01 	-1.40788692376097e-04	 4.57527464922137e-04	6.65923249899485e-09		1.00000011457641e+00
