1.38000000000000e+00    	3.15721743863385e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	7.27017105699027e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.41000000000000e+00    	3.33477430434546e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	4.46907058505249e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.44000000000000e+00    	3.41973463532090e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	1.10629183338242e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.47000000000000e+00    	3.39623297367424e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-2.74733343506942e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.50000000000000e+00    	3.25099400552839e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-6.99001959740628e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.53000000000000e+00    	2.97424850662131e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-1.14901206930313e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.56000000000000e+00    	2.56059371034978e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-1.60887524131799e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.59000000000000e+00    	2.00975165405123e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-2.06039703188159e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.62000000000000e+00    	1.32717929984954e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-2.48364595652860e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.65000000000000e+00    	5.24486709012932e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	-2.85766149580283e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.68000000000000e+00    	-3.80375657489157e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	-3.16128131366875e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.71000000000000e+00    	-1.36319237203166e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-3.37406047525922e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.74000000000000e+00    	-2.39384387492572e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-3.47724874433493e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.77000000000000e+00    	-3.43696432449322e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-3.45478639298542e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.80000000000000e+00    	-4.45289553070611e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-3.29427471303257e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.83000000000000e+00    	-5.39892247106166e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-2.98787488411156e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.86000000000000e+00    	-6.23076184527458e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-2.53308827154524e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.89000000000000e+00    	-6.90426122378606e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-1.93337276692742e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.92000000000000e+00    	-7.37725323505187e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-1.19855352720672e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.95000000000000e+00    	-7.61149757919083e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	-3.44992398578038e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.98000000000000e+00    	-7.57463409209416e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	6.04511687903612e-20	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.01000000000000e+00    	-7.24206320501861e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	1.62110921185794e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.04000000000000e+00    	-6.59866645935077e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	2.67057993285789e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.07000000000000e+00    	-5.64027964427816e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	3.71430011566152e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.10000000000000e+00    	-4.37483489123098e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	4.71047796019882e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.13000000000000e+00    	-2.82309579231254e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	5.61562486536599e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.16000000000000e+00    	-1.01892124932636e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	6.38621743465750e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.19000000000000e+00    	9.90990934044326e-21 	 -9.18485099360000e-16   -5.00000000000000e+00 	6.98049350869276e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.22000000000000e+00    	3.14791115001438e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	7.36031557226314e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.25000000000000e+00    	5.38244499409251e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	7.49302718031327e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.28000000000000e+00    	7.61644627389426e-20 	 -9.18485099360000e-16   -5.00000000000000e+00 	7.35322306143461e-19	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
