0.00000000000000e+00    	0.00000000000000e+00 	 -1.76335575690000e+00  	-2.42705098310000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.93000000000000e+00    	1.30393786227920e-04 	 -1.76743377538558e+00   -2.42713749263359e+00 	-2.56225496490453e-03	 8.27676943058193e-03	-1.51894689628049e-04		1.00003754586251e+00
3.96000000000000e+00    	5.26822840097455e-05 	 -1.76710834205859e+00   -2.42714209672436e+00 	-2.59951192202736e-03	 1.33921437689460e-02	-1.55547836461395e-04		1.00009306125585e+00
3.99000000000000e+00    	-2.43995752819632e-05 	 -1.76663298343911e+00   -2.42714685812927e+00 	-2.52075428379868e-03	 1.82422946067772e-02	-1.62542740546762e-04		1.00016956659100e+00
4.02000000000000e+00    	-9.74168235639270e-05 	 -1.76601856878251e+00   -2.42715188744610e+00 	-2.33014369844194e-03	 2.26357866526167e-02	-1.73506829972460e-04		1.00025888574491e+00
4.05000000000000e+00    	-1.63155573962916e-04 	 -1.76528159202266e+00   -2.42715730717985e+00 	-2.03798894797044e-03	 2.63900163696099e-02	-1.88589942438687e-04		1.00035024962715e+00
4.08000000000000e+00    	-2.18790062586468e-04 	 -1.76444378758333e+00   -2.42716323632627e+00 	-1.65950514238988e-03	 2.93385222191415e-02	-2.07402130872713e-04		1.00043167975578e+00
4.11000000000000e+00    	-2.62004814660800e-04 	 -1.76353153427125e+00   -2.42716977422200e+00 	-1.21313139567005e-03	 3.13379289548167e-02	-2.29027665748564e-04		1.00049167409461e+00
4.14000000000000e+00    	-2.91062160813100e-04 	 -1.76257506494623e+00   -2.42717698602808e+00 	-7.18634405734047e-04	 3.22742471871597e-02	-2.52119343238482e-04		1.00052096781180e+00
4.17000000000000e+00    	-3.04812889830661e-04 	 -1.76160750623853e+00   -2.42718489215226e+00 	-1.95260436847916e-04	 3.20682786365561e-02	-2.75065384236965e-04		1.00051411198559e+00
4.20000000000000e+00    	-3.02655777131129e-04 	 -1.76066377764483e+00   -2.42719346350810e+00 	3.39803752187749e-04	 3.06799119035832e-02	-2.96209758305555e-04		1.00047061935932e+00
