0.00000000000000e+00    	0.00000000000000e+00 	 3.53553390590000e-01  	3.53553390590000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.14000000000000e+00    	3.91439542592122e-06 	 3.52997927154301e-01   3.53553409510187e-01 	7.21920053718428e-05	 -8.42201703980593e-04	1.36437191169242e-07		1.00000035725764e+00
1.17000000000000e+00    	6.20305257751618e-06 	 3.52980324571831e-01   3.53553413690538e-01 	8.01445685818368e-05	 -3.13238223856230e-04	1.41363846183518e-07		1.00000005227068e+00
1.20000000000000e+00    	8.70645891079168e-06 	 3.52980176272091e-01   3.53553417943679e-01 	8.64365995154575e-05	 3.19862350261896e-04	1.41515392376934e-07		1.00000005489161e+00
1.23000000000000e+00    	1.13683910216197e-05 	 3.53000435429845e-01   3.53553422155910e-01 	9.06434038866328e-05	 1.04466390061144e-03	1.39178541045007e-07		1.00000054976930e+00
1.26000000000000e+00    	1.41200884034102e-05 	 3.53043587747864e-01   3.53553426311351e-01 	9.23533828148221e-05	 1.84242592168922e-03	1.38602414571750e-07		1.00000170152977e+00
1.29000000000000e+00    	1.68805847276480e-05 	 3.53111462567863e-01   3.53553430550427e-01 	9.11635764599621e-05	 2.68817299388985e-03	1.45913466713256e-07		1.00000361728589e+00
1.32000000000000e+00    	1.95569005387900e-05 	 3.53205050888633e-01   3.53553435220118e-01 	8.66757378416093e-05	 3.55108910409218e-03	1.68642631132125e-07		1.00000630885337e+00
1.35000000000000e+00    	2.20441988053364e-05 	 3.53324340332651e-01   3.53553440903866e-01 	7.84988349384979e-05	 4.39525339061423e-03	2.14843999989498e-07		1.00000966216056e+00
1.38000000000000e+00    	2.42261930389062e-05 	 3.53468177362837e-01   3.53553448419500e-01 	6.62644372535663e-05	 5.18071802108015e-03	2.91861019923981e-07		1.00001342202506e+00
1.41000000000000e+00    	2.59762823854570e-05 	 3.53634166806744e-01   3.53553458776530e-01 	4.96605906544650e-05	 5.86491155996672e-03	4.04882368792414e-07		1.00001719967906e+00
1.44000000000000e+00    	2.71600231325717e-05 	 3.53818617965046e-01   3.53553473089674e-01 	2.84873092481803e-05	 6.40433313277082e-03	5.55510197073785e-07		1.00002050793707e+00
1.47000000000000e+00    	2.76395832276114e-05 	 3.54016545260208e-01   3.53553492453066e-01 	2.73279540471102e-06	 6.75648481679557e-03	7.40620569493945e-07		1.00002282478706e+00
1.50000000000000e+00    	2.72807249364207e-05 	 3.54221729543455e-01   3.53553517788409e-01 	-2.73356357594907e-05	 6.88197289122512e-03	9.51812476037491e-07		1.00002368086912e+00
1.53000000000000e+00    	2.59625978602966e-05 	 3.54426843873953e-01   3.53553549688744e-01 	-6.10774388981986e-05	 6.74669375263877e-03	1.17570451169302e-06		1.00002276054519e+00
1.56000000000000e+00    	2.35902043730878e-05 	 3.54623644887220e-01   3.53553588286039e-01 	-9.73978542128783e-05	 6.32400827821872e-03	1.39524168012704e-06		1.00002000108447e+00
1.59000000000000e+00    	2.01088591748166e-05 	 3.54803227873015e-01   3.53553633173470e-01 	-1.34699382932878e-04	 5.59679994030631e-03	1.59202358447634e-06		1.00001567103522e+00
1.62000000000000e+00    	1.55193745720940e-05 	 3.54956340494783e-01   3.53553683410878e-01 	-1.70885176991623e-04	 4.55930768188896e-03	1.74947607203067e-06		1.00001040819151e+00
1.65000000000000e+00    	9.89216148250191e-06 	 3.55073746825328e-01   3.53553737633528e-01 	-2.03430305529000e-04	 3.21862498434196e-03	1.85648877560999e-06		1.00000520045354e+00
1.68000000000000e+00    	3.37805654046754e-06 	 3.55146630182932e-01   3.53553794270266e-01 	-2.29529524401723e-04	 1.59576211297301e-03	1.91096660072902e-06		1.00000129957124e+00
1.71000000000000e+00    	-3.78642119904428e-06 	 3.55167020280363e-01   3.53553851858729e-01 	-2.46319450547367e-04	 -2.73820508584365e-04	1.92263265998817e-06		1.00000006782732e+00
1.74000000000000e+00    	-1.12814283081976e-05 	 3.55128227612906e-01   3.53553909424946e-01 	-2.51160130343898e-04	 -2.34028337673239e-03	1.91440825142491e-06		1.00000277000184e+00
1.77000000000000e+00    	-1.87151630008714e-05 	 3.55025265988667e-01   3.53553966875714e-01 	-2.41947764132691e-04	 -4.54013722616671e-03	1.92180570403019e-06		1.00001033564081e+00
1.80000000000000e+00    	-2.56446065412585e-05 	 3.54855242822545e-01   3.53554025338463e-01 	-2.17419142862413e-04	 -6.79765778202106e-03	1.99000755254002e-06		1.00002312744574e+00
1.83000000000000e+00    	-3.16047050277825e-05 	 3.54617696433158e-01   3.53554087378508e-01 	-1.77401614000259e-04	 -9.02698269982861e-03	2.16865283207623e-06		1.00004075811574e+00
1.86000000000000e+00    	-3.61436461164704e-05 	 3.54314860215676e-01   3.53554157030337e-01 	-1.22962236370282e-04	 -1.11348545495865e-02	2.50476632197508e-06		1.00006199813403e+00
1.89000000000000e+00    	-3.88605887374873e-05 	 3.53951835263271e-01   3.53554239599133e-01 	-5.64175206082378e-05	 -1.30239401003723e-02	3.03468639002305e-06		1.00008480950762e+00
1.92000000000000e+00    	-3.94412649809004e-05 	 3.53536655744166e-01   3.53554341219935e-01 	1.88191033048728e-05	 -1.45966238156159e-02	3.77619590560378e-06		1.00010652522380e+00
1.95000000000000e+00    	-3.76865164037827e-05 	 3.53080234996157e-01   3.53554468201446e-01 	9.85525194881766e-05	 -1.57591442959449e-02	4.72226189923424e-06		1.00012417247252e+00
1.98000000000000e+00    	-3.35292126122641e-05 	 3.52596184695753e-01   3.53554626224069e-01 	1.78257927148347e-04	 -1.64259180392573e-02	5.83777998341882e-06		1.00013491219605e+00
2.01000000000000e+00    	-2.70361858378735e-05 	 3.52100504380689e-01   3.53554819500250e-01 	2.53617298629445e-04	 -1.65238764810529e-02	7.06046282488290e-06		1.00013654211090e+00
2.04000000000000e+00    	-1.83937304007333e-05 	 3.51611143843008e-01   3.53555050032286e-01 	3.21066148352063e-04	 -1.59966304454869e-02	8.30650970033393e-06		1.00012798947839e+00
2.07000000000000e+00    	-7.87765390495767e-06 	 3.51147446292828e-01   3.53555317111687e-01 	3.78263673922408e-04	 -1.48082710485898e-02	9.48099101077578e-06		1.00010970801445e+00
2.10000000000000e+00    	4.18849967304983e-06 	 3.50729485597922e-01   3.53555617190162e-01 	4.24399255405733e-04	 -1.29466177112457e-02	1.04920641424169e-05		1.00008389404838e+00
2.13000000000000e+00    	1.74810187829412e-05 	 3.50377316244367e-01   3.53555944213720e-01 	4.60263049175169e-04	 -1.04257323081715e-02	1.12673257072470e-05		1.00005445244906e+00
2.16000000000000e+00    	3.17215939730218e-05 	 3.50110159846047e-01   3.53556290450285e-01 	4.88037933896111e-04	 -7.28753396396705e-03	1.17699398799941e-05		1.00002667287969e+00
2.19000000000000e+00    	4.67124119261133e-05 	 3.49945556901855e-01   3.53556647764053e-01 	5.10811780155955e-04	 -3.60237233312507e-03	1.20118028203089e-05		1.00000661905779e+00
2.22000000000000e+00    	6.23529786042782e-05 	 3.49898516795854e-01   3.53557009206712e-01 	5.31857794064215e-04	 5.31550764745392e-04	1.20610247270498e-05		1.00000028278216e+00
2.25000000000000e+00    	7.86330386662735e-05 	 3.49980702369248e-01   3.53557370719860e-01 	5.53779243868808e-04	 4.98998020108824e-03	1.20415011720299e-05		1.00001260328001e+00
2.28000000000000e+00    	9.55994760194023e-05 	 3.50199687286163e-01   3.53557732688821e-01 	5.77654644703842e-04	 9.62564559559592e-03	1.21233010835127e-05		1.00004649236173e+00
