0.00000000000000e+00    	0.00000000000000e+00 	 -2.85316954890000e+00  	-9.27050983120000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.91000000000000e+00    	1.32102611330158e-03 	 -2.86204631245955e+00   -9.27075774167187e-01 	2.86544059761214e-03	 7.96272925581381e-02	-1.05045216855709e-04		1.00316934138981e+00
2.94000000000000e+00    	1.41891030303080e-03 	 -2.85944470018214e+00   -9.27079778519186e-01 	3.68572503292578e-03	 9.40981198934164e-02	-1.62681486232536e-04		1.00442424662179e+00
2.97000000000000e+00    	1.54050073640799e-03 	 -2.85645122954909e+00   -9.27085435383904e-01 	4.43771676902140e-03	 1.05991884646393e-01	-2.14745939370490e-04		1.00561126637326e+00
3.00000000000000e+00    	1.68157124119690e-03 	 -2.85315216734484e+00   -9.27092456289438e-01 	4.97786794918164e-03	 1.14719665554488e-01	-2.53312647720752e-04		1.00657113260889e+00
3.03000000000000e+00    	1.83386029410109e-03 	 -2.84964916496676e+00   -9.27100332620216e-01 	5.17965364227432e-03	 1.19777904164827e-01	-2.71544800231301e-04		1.00716118316511e+00
3.06000000000000e+00    	1.98592142165227e-03 	 -2.84605648681528e+00   -9.27108385631551e-01 	4.95608132216544e-03	 1.20768461837498e-01	-2.64836608782474e-04		1.00727834001089e+00
3.09000000000000e+00    	2.12457264176456e-03 	 -2.84249796616897e+00   -9.27115846203146e-01 	4.27891439230902e-03	 1.17416402315300e-01	-2.31759347013602e-04		1.00687882803912e+00
3.12000000000000e+00    	2.23681271979149e-03 	 -2.83910366998216e+00   -9.27121956834232e-01 	3.19166560070119e-03	 1.09586041285078e-01	-1.74663169858125e-04		1.00599170855483e+00
3.15000000000000e+00    	2.31200489300992e-03 	 -2.83600616089251e+00   -9.27126085091761e-01 	1.81381251923587e-03	 9.72954752209605e-02	-9.98090817955786e-05		1.00472369802657e+00
3.18000000000000e+00    	2.34406473488780e-03 	 -2.83333620136724e+00   -9.27127834642520e-01 	3.34310649657094e-04	 8.07290632274725e-02	-1.69411729359779e-05		1.00325335469172e+00
