0.00000000000000e+00    	0.00000000000000e+00 	 3.09016994370000e-01  	-9.51056516300000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.32000000000000e+00    	-1.51763860537721e-05 	 3.09078694222177e-01   -9.51056510993828e-01 	5.76339397976499e-05	 -6.65310142730611e-05	2.20400137421136e-08		1.00000000387402e+00
1.35000000000000e+00    	-1.30796760807616e-05 	 3.09075529902034e-01   -9.51056510325642e-01 	8.22569155043870e-05	 -1.45532417372632e-04	2.26653003566051e-08		1.00000001397294e+00
1.38000000000000e+00    	-1.02392362547027e-05 	 3.09069908589587e-01   -9.51056509619898e-01 	1.07048930105155e-04	 -2.29883626169357e-04	2.46955013471143e-08		1.00000003215298e+00
1.41000000000000e+00    	-6.66564623285335e-06 	 3.09061712759805e-01   -9.51056508820424e-01 	1.30947045891066e-04	 -3.16630729201684e-04	2.90737967026883e-08		1.00000005870107e+00
1.44000000000000e+00    	-2.40295048364006e-06 	 3.09050921143247e-01   -9.51056507842734e-01 	1.52789610439133e-04	 -4.02325001469418e-04	3.67196004675268e-08		1.00000009260503e+00
1.47000000000000e+00    	2.46899847453239e-06 	 3.09037622115963e-01   -9.51056506577110e-01 	1.71358848952879e-04	 -4.83125099491867e-04	4.83673097600391e-08		1.00000013138685e+00
1.50000000000000e+00    	7.83359241720643e-06 	 3.09022023563640e-01   -9.51056504896705e-01 	1.85431081205052e-04	 -5.54929498575761e-04	6.43972284935139e-08		1.00000017116570e+00
1.53000000000000e+00    	1.35381209640802e-05 	 3.09004458358408e-01   -9.51056502670461e-01 	1.93832940411199e-04	 -6.13535854086911e-04	8.46886916827256e-08		1.00000020699871e+00
1.56000000000000e+00    	1.93961760644964e-05 	 3.08985384710724e-01   -9.51056499779695e-01 	1.95501497238169e-04	 -6.54822348244632e-04	1.08528712680144e-07		1.00000023350655e+00
1.59000000000000e+00    	2.51918877757697e-05 	 3.08965380830020e-01   -9.51056496136186e-01 	1.89545772554047e-04	 -6.74944568074671e-04	1.34607157837226e-07		1.00000024573886e+00
1.62000000000000e+00    	3.06859909250010e-05 	 3.08945133541941e-01   -9.51056491698822e-01 	1.75306787203663e-04	 -6.70540129255418e-04	1.61120673926333e-07		1.00000024017825e+00
1.65000000000000e+00    	3.56236330554192e-05 	 3.08925420760344e-01   -9.51056486485378e-01 	1.52413075434702e-04	 -6.38932191492082e-04	1.85992572090574e-07		1.00000021573204e+00
1.68000000000000e+00    	3.97437402646631e-05 	 3.08907087989788e-01   -9.51056480576100e-01 	1.20828507274227e-04	 -5.78322273208610e-04	2.07196075490623e-07		1.00000017452810e+00
1.71000000000000e+00    	4.27896636879543e-05 	 3.08891019328258e-01   -9.51056474106432e-01 	8.08893454187150e-05	 -4.87962425508189e-04	2.23146459050966e-07		1.00000012232522e+00
1.74000000000000e+00    	4.45207405280674e-05 	 3.08878103737854e-01   -9.51056467247615e-01 	3.33277171344724e-05	 -3.68296912574548e-04	2.33107303446696e-07		1.00000006837670e+00
1.77000000000000e+00    	4.47243249896942e-05 	 3.08869197639698e-01   -9.51056460175743e-01 	-2.07208862689984e-05	 -2.21064096737324e-04	2.37541468676803e-07		1.00000002464937e+00
1.80000000000000e+00    	4.32277814350577e-05 	 3.08865085154169e-01   -9.51056453032051e-01 	-7.97278705329394e-05	 -4.93502516416373e-05	2.38332359932690e-07		1.00000000439602e+00
1.83000000000000e+00    	3.99098892478910e-05 	 3.08866437534735e-01   -9.51056445879368e-01 	-1.41800604650524e-04	 1.42411483426544e-04	2.38808508044528e-07		1.00000002019425e+00
1.86000000000000e+00    	3.47110901081692e-05 	 3.08873773519493e-01   -9.51056438661392e-01 	-2.04730484086495e-04	 3.48501872025341e-04	2.43525585208651e-07		1.00000008168409e+00
1.89000000000000e+00    	2.76420162577964e-05 	 3.08887422436820e-01   -9.51056431172350e-01 	-2.66059266753364e-04	 5.62038632268014e-04	2.57793609289043e-07		1.00000019333749e+00
1.92000000000000e+00    	1.87897740195812e-05 	 3.08907491939879e-01   -9.51056423044337e-01 	-3.23162029962828e-04	 7.75161722414383e-04	2.86979632489500e-07		1.00000035265468e+00
1.95000000000000e+00    	8.32151984592050e-06 	 3.08933842201294e-01   -9.51056413758058e-01 	-3.73344212086788e-04	 9.79277989792461e-04	3.35661723255229e-07		1.00000054918555e+00
1.98000000000000e+00    	-3.51504555982499e-06 	 3.08966068269390e-01   -9.51056402679753e-01 	-4.13949412740823e-04	 1.16535939280249e-03	4.06750936881648e-07		1.00000076470811e+00
2.01000000000000e+00    	-1.63945295147126e-05 	 3.09003492069961e-01   -9.51056389123168e-01 	-4.42473973746968e-04	 1.32428611523701e-03	5.00726057288722e-07		1.00000097475812e+00
