0.00000000000000e+00    	0.00000000000000e+00 	 5.87785252290000e-01  	8.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.17000000000000e+00    	7.76579954222943e-06 	 5.87780293019225e-01   8.09016994013997e-01 	-4.68605378714988e-05	 -2.59495654561238e-04	8.34419565666419e-10		1.00000003476695e+00
1.20000000000000e+00    	6.10636424594667e-06 	 5.87771943009451e-01   8.09016994027149e-01 	-6.38505345243838e-05	 -2.96317608127287e-04	-1.39041203254700e-10		1.00000004594051e+00
1.23000000000000e+00    	3.93330029930213e-06 	 5.87762577108295e-01   8.09016993993174e-01 	-8.09837308333821e-05	 -3.26823507271324e-04	-2.35776114035335e-09		1.00000005668598e+00
1.26000000000000e+00    	1.25349409399565e-06 	 5.87752420710772e-01   8.09016993870714e-01 	-9.74988293546659e-05	 -3.48620546092297e-04	-6.06822057029487e-09		1.00000006552115e+00
1.29000000000000e+00    	-1.90203429277266e-06 	 5.87741770282648e-01   8.09016993613186e-01 	-1.12552709265408e-04	 -3.59383360920736e-04	-1.13608548987499e-08		1.00000007091225e+00
1.32000000000000e+00    	-5.47611536406146e-06 	 5.87730989500868e-01   8.09016993174421e-01 	-1.25250814490866e-04	 -3.56977841450435e-04	-1.81090059232989e-08		1.00000007156047e+00
1.35000000000000e+00    	-9.38442302505802e-06 	 5.87720501581523e-01   8.09016992515808e-01 	-1.34683848753201e-04	 -3.39590555815475e-04	-2.59322946260945e-08		1.00000006673074e+00
1.38000000000000e+00    	-1.35156493623953e-05 	 5.87710777714357e-01   8.09016991613982e-01 	-1.39969659852383e-04	 -3.05857840940560e-04	-3.41988684655570e-08		1.00000005657026e+00
1.41000000000000e+00    	-1.77329955984014e-05 	 5.87702321710820e-01   8.09016990467725e-01 	-1.40298822694657e-04	 -2.54988018257879e-04	-4.20772445811747e-08		1.00000004235132e+00
1.44000000000000e+00    	-2.18770635368017e-05 	 5.87695651174247e-01   8.09016989102506e-01 	-1.34982091914481e-04	 -1.86869884267971e-04	-4.86415819358984e-08		1.00000002657026e+00
1.47000000000000e+00    	-2.57701724982360e-05 	 5.87691275706971e-01   8.09016987571123e-01 	-1.23497608912421e-04	 -1.02160635764203e-04	-5.30247612324375e-08		1.00000001284423e+00
1.50000000000000e+00    	-2.92220598683179e-05 	 5.87689672869885e-01   8.09016985949217e-01 	-1.05535533500719e-04	 -2.34674778432207e-06	-5.46028877818390e-08		1.00000000557163e+00
1.53000000000000e+00    	-3.20368513668724e-05 	 5.87691262794582e-01   8.09016984325114e-01 	-8.10376455313028e-05	 1.10227960486233e-04	-5.31845791827703e-08		1.00000000935865e+00
1.56000000000000e+00    	-3.40211129511840e-05 	 5.87696382505980e-01   8.09016982784329e-01 	-5.02294441040439e-05	 2.32371767337248e-04	-4.91708004868215e-08		1.00000002825982e+00
1.59000000000000e+00    	-3.49927233299076e-05 	 5.87705261134030e-01   8.09016981390185e-01 	-1.36423760051422e-05	 3.60095297326541e-04	-4.36481751012392e-08		1.00000006492737e+00
1.62000000000000e+00    	-3.47902382175294e-05 	 5.87717997267596e-01   8.09016980163060e-01 	2.78759383373708e-05	 4.88704198952561e-04	-3.83822807056081e-08		1.00000011980442e+00
1.65000000000000e+00    	-3.32823587718623e-05 	 5.87734539724215e-01   8.09016979061633e-01 	7.31652389807966e-05	 6.12933975087420e-04	-3.56882021216626e-08		1.00000019052059e+00
1.68000000000000e+00    	-3.03770712344898e-05 	 5.87754672970813e-01   8.09016977969956e-01 	1.20771169516200e-04	 7.27124650110945e-04	-3.81731019658012e-08		1.00000027164793e+00
1.71000000000000e+00    	-2.60299965200530e-05 	 5.87778008329559e-01   8.09016976693977e-01 	1.68979446596587e-04	 8.25430865772432e-04	-4.83679424041024e-08		1.00000035494502e+00
1.74000000000000e+00    	-2.02514807403144e-05 	 5.87803981939857e-01   8.09016974970290e-01 	2.15865542109000e-04	 9.02060952296438e-04	-6.82895890331700e-08		1.00000043015586e+00
1.77000000000000e+00    	-1.31119729381712e-05 	 5.87831860224876e-01   8.09016972488303e-01 	2.59358965375530e-04	 9.51536624011301e-04	-9.89962160775049e-08		1.00000048634440e+00
1.80000000000000e+00    	-4.74527605413192e-06 	 5.87860753335012e-01   8.09016968924885e-01 	2.97320408542277e-04	 9.68963300096632e-04	-1.40213690965840e-07		1.00000051364453e+00
1.83000000000000e+00    	4.65067860672384e-06 	 5.87889636720174e-01   8.09016963988127e-01 	3.27629217410871e-04	 9.50299744543855e-04	-1.90114316896986e-07		1.00000050520514e+00
