0.00000000000000e+00    	0.00000000000000e+00 	 6.12323399570000e-16  	1.00000000000000e+01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.56000000000000e+00    	-3.10765487180112e-06 	 -9.89786620792134e-05   9.99999999455527e+00 	-1.84419572795588e-05	 -5.84758151514761e-04	-3.84261314629419e-08		1.00000017114109e+00
1.59000000000000e+00    	-3.63159625441142e-06 	 -1.15583822002461e-04   9.99999999331902e+00 	-1.63374506287363e-05	 -5.17480435592475e-04	-4.38445793061594e-08		1.00000013402645e+00
1.62000000000000e+00    	-4.07883705712745e-06 	 -1.29740168430538e-04   9.99999999193547e+00 	-1.33276360010865e-05	 -4.21510940535928e-04	-4.81796472111427e-08		1.00000008892455e+00
1.65000000000000e+00    	-4.42231348504497e-06 	 -1.40593715515094e-04   9.99999999044222e+00 	-9.42502914806356e-06	 -2.97508456568329e-04	-5.11255609271495e-08		1.00000004430006e+00
1.68000000000000e+00    	-4.63590895259381e-06 	 -1.47329348028765e-04   9.99999998888251e+00 	-4.68082990194040e-06	 -1.47418005414715e-04	-5.26248412771290e-08		1.00000001087699e+00
1.71000000000000e+00    	-4.69566036810503e-06 	 -1.49210270208403e-04   9.99999998729663e+00 	8.12216444039368e-07	 2.54804837970874e-05	-5.29454003872432e-08		1.00000000032496e+00
1.74000000000000e+00    	-4.58103155279572e-06 	 -1.45618094048476e-04   9.99999998571138e+00 	6.91826316019829e-06	 2.16579207935448e-04	-5.27184622124967e-08		1.00000002347721e+00
1.77000000000000e+00    	-4.27620921205197e-06 	 -1.36091818193803e-04   9.99999998412931e+00 	1.34584782298342e-05	 4.20010028923246e-04	-5.29218211373967e-08		1.00000008829478e+00
1.80000000000000e+00    	-3.77136554480848e-06 	 -1.20363839775633e-04   9.99999998251937e+00 	2.02132150127135e-05	 6.28774914807344e-04	-5.47994812897270e-08		1.00000019788322e+00
1.83000000000000e+00    	-3.06382042566061e-06 	 -9.83911095255666e-05   9.99999998081091e+00 	2.69265893840814e-05	 8.34938977601853e-04	-5.97182415569599e-08		1.00000034892401e+00
1.86000000000000e+00    	-2.15902673370561e-06 	 -7.03795928214465e-05   9.99999997889282e+00 	3.33137245880732e-05	 1.02988290457482e-03	-6.89731661271307e-08		1.00000053088416e+00
1.89000000000000e+00    	-1.07129677004928e-06 	 -3.68003400795323e-05   9.99999997661898e+00 	3.90707668857098e-05	 1.20460860641223e-03	-8.35654035083907e-08		1.00000072630395e+00
1.92000000000000e+00    	1.75812191906685e-07 	 1.60430062631537e-06   9.99999997382039e+00 	4.38875525070168e-05	 1.35008899011730e-03	-1.03985430626083e-07		1.00000091233279e+00
1.95000000000000e+00    	1.54952760635367e-06 	 4.38254815039519e-05   9.99999997032324e+00 	4.74625344779975e-05	 1.45765004516885e-03	-1.30040404386242e-07		1.00000106349762e+00
1.98000000000000e+00    	3.00836484277065e-06 	 8.86044251409011e-05   9.99999996597103e+00 	4.95192836646873e-05	 1.51937104651917e-03	-1.60764138316810e-07		1.00000115546961e+00
2.01000000000000e+00    	4.50313724816034e-06 	 1.34461072390970e-04   9.99999996064767e+00 	4.98235988058619e-05	 1.52848675873597e-03	-1.94441240178537e-07		1.00000116937642e+00
2.04000000000000e+00    	5.97847398478265e-06 	 1.79734608722690e-04   9.99999995429802e+00 	4.82000378668135e-05	 1.47977419004982e-03	-2.28763133657208e-07		1.00000109602687e+00
2.07000000000000e+00    	7.37480877526045e-06 	 2.22635134787490e-04   9.99999994694163e+00 	4.45465596216130e-05	 1.36990579218145e-03	-2.61114244182966e-07		1.00000093931273e+00
2.10000000000000e+00    	8.63076314388902e-06 	 2.61305203693089e-04   9.99999993867637e+00 	3.88459741527836e-05	 1.19775110611029e-03	-2.88963965524772e-07		1.00000071805814e+00
2.13000000000000e+00    	9.68581075624942e-06 	 2.93889419224220e-04   9.99999992966910e+00 	3.11730634618998e-05	 9.64609761097737e-04	-3.10317535577026e-07		1.00000046572182e+00
2.16000000000000e+00    	1.04830796515495e-05 	 3.18609800319107e-04   9.99999992013289e+00 	2.16965478310775e-05	 6.74360457719289e-04	-3.24160581353143e-07		1.00000022761641e+00
2.19000000000000e+00    	1.09721307875623e-05 	 3.33844191689801e-04   9.99999991029182e+00 	1.06755158277182e-05	 3.33513084151105e-04	-3.30821733492721e-07		1.00000005567253e+00
2.22000000000000e+00    	1.11115475595232e-05 	 3.38204661664833e-04   9.99999990033715e+00 	-1.54954114579499e-06	 -4.88456286434808e-05	-3.32178500208883e-07		1.00000000119420e+00
2.25000000000000e+00    	1.08711832925629e-05 	 3.30612597057798e-04   9.99999989038044e+00 	-1.45704106523228e-05	 -4.61218605910444e-04	-3.31645251151546e-07		1.00000010646750e+00
2.28000000000000e+00    	1.02339414784380e-05 	 3.10367098802547e-04   9.99999988041074e+00 	-2.79284007538132e-05	 -8.89978356728069e-04	-3.33908468458555e-07		1.00000039642071e+00
2.31000000000000e+00    	9.19700377285163e-06 	 2.77203314638195e-04   9.99999987026357e+00 	-4.11336429286712e-05	 -1.31975682763429e-03	-3.44410935648415e-07		1.00000087172471e+00
2.34000000000000e+00    	7.77246844482886e-06 	 2.31337524444121e-04   9.99999985960867e+00 	-5.36848137885629e-05	 -1.73393672974643e-03	-3.68628676816026e-07		1.00000150470826e+00
2.37000000000000e+00    	5.98741052721491e-06 	 1.73496122090567e-04   9.99999984796152e+00 	-6.50877226063641e-05	 -2.11523096983713e-03	-4.11225972427325e-07		1.00000223921681e+00
2.40000000000000e+00    	3.88341721837580e-06 	 1.04926110540149e-04   9.99999983472053e+00 	-7.48715366918181e-05	 -2.44633214921614e-03	-4.75207549859414e-07		1.00000299506899e+00
2.43000000000000e+00    	1.51568152549361e-06 	 2.73853333379056e-05   9.99999981922803e+00 	-8.26019393210649e-05	 -2.71060989792851e-03	-5.61206195791865e-07		1.00000367710795e+00
2.46000000000000e+00    	-1.04825117141205e-06 	 -5.68886120916101e-05   9.99999980084892e+00 	-8.78911595575169e-05	 -2.89283029762988e-03	-6.67043125986048e-07		1.00000418808745e+00
2.49000000000000e+00    	-3.72999716244584e-06 	 -1.45231019497808e-04   9.99999977905682e+00 	-9.04054745135148e-05	 -2.97986900819621e-03	-7.87674618523465e-07		1.00000444388666e+00
2.52000000000000e+00    	-6.44204939365091e-06 	 -2.34623639799140e-04   9.99999975351524e+00 	-8.98713417185507e-05	 -2.96138811643429e-03	-9.15592249657128e-07		1.00000438893900e+00
2.55000000000000e+00    	-9.08967422419796e-06 	 -3.21787623105619e-04   9.99999972413969e+00 	-8.60816552579766e-05	 -2.83044629967502e-03	-1.04167997784541e-06		1.00000400941066e+00
2.58000000000000e+00    	-1.15730168430026e-05 	 -4.03293390600100e-04   9.99999969112816e+00 	-7.89036416975884e-05	 -2.58401272899247e-03	-1.15645733982097e-06		1.00000334166887e+00
