3.40000000000000e-01    	1.20094438595679e-09 	 3.00000021846022e+00   0.00000000000000e+00 	-1.81249920086349e-08	 3.24699964665830e-06	0.00000000000000e+00		1.00000000000527e+00
3.50000000000000e-01    	9.75139389229165e-10 	 3.00000025268493e+00   0.00000000000000e+00 	-2.73100112141920e-08	 3.60053205931583e-06	0.00000000000000e+00		1.00000000000648e+00
3.60000000000000e-01    	6.49002663966913e-10 	 3.00000029051864e+00   0.00000000000000e+00 	-3.82174929907106e-08	 3.96838218306494e-06	0.00000000000000e+00		1.00000000000787e+00
3.70000000000000e-01    	2.04525129687488e-10 	 3.00000033209122e+00   0.00000000000000e+00 	-5.10042491984524e-08	 4.34780766196465e-06	0.00000000000000e+00		1.00000000000945e+00
3.80000000000000e-01    	-3.77865037442058e-10 	 3.00000037750259e+00   0.00000000000000e+00 	-6.58257120582465e-08	 4.73555500758437e-06	0.00000000000000e+00		1.00000000001121e+00
3.90000000000000e-01    	-1.11927925857062e-09 	 3.00000042681751e+00   0.00000000000000e+00 	-8.28340433917919e-08	 5.12784265223022e-06	0.00000000000000e+00		1.00000000001315e+00
4.00000000000000e-01    	-2.04232589265817e-09 	 3.00000048006023e+00   0.00000000000000e+00 	-1.02176124649390e-07	 5.52034821985327e-06	0.00000000000000e+00		1.00000000001524e+00
4.10000000000000e-01    	-3.17104693293426e-09 	 3.00000053720903e+00   0.00000000000000e+00 	-1.23991440304843e-07	 5.90820040512614e-06	0.00000000000000e+00		1.00000000001746e+00
4.20000000000000e-01    	-4.53083306249076e-09 	 3.00000059819071e+00   0.00000000000000e+00 	-1.48409868775173e-07	 6.28597582646775e-06	0.00000000000000e+00		1.00000000001977e+00
4.30000000000000e-01    	-6.14831622137368e-09 	 3.00000066287511e+00   0.00000000000000e+00 	-1.75549396534154e-07	 6.64770119003000e-06	0.00000000000000e+00		1.00000000002211e+00
4.40000000000000e-01    	-8.05123900145773e-09 	 3.00000073106958e+00   0.00000000000000e+00 	-2.05513772519910e-07	 6.98686106895945e-06	0.00000000000000e+00		1.00000000002443e+00
4.50000000000000e-01    	-1.02683003631635e-08 	 3.00000080251369e+00   0.00000000000000e+00 	-2.38390121275044e-07	 7.29641156576942e-06	0.00000000000000e+00		1.00000000002665e+00
4.60000000000000e-01    	-1.28289773587175e-08 	 3.00000087687399e+00   0.00000000000000e+00 	-2.74246534490211e-07	 7.56880008559346e-06	0.00000000000000e+00		1.00000000002868e+00
4.70000000000000e-01    	-1.57633227490406e-08 	 3.00000095373908e+00   0.00000000000000e+00 	-3.13129661736720e-07	 7.79599140466024e-06	0.00000000000000e+00		1.00000000003044e+00
