5.52000000000000e+00    	-5.51999930999968e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -7.73168967080533e-14	-1.97303959176165e-30		2.00000024999998e+03
5.64000000000000e+00    	-5.63999929499967e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.90738986968715e-14	-2.16277661880415e-30		2.00000024999998e+03
5.76000000000000e+00    	-5.75999927999965e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 8.89299463558213e-14	-2.55434956984583e-30		2.00000024999998e+03
5.88000000000000e+00    	-5.87999926499964e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -9.30243807814302e-15	-2.84499514034252e-30		2.00000024999998e+03
6.00000000000000e+00    	-5.99999924999962e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.00052432309235e-13	-3.26641858271232e-30		2.00000024999998e+03
6.12000000000000e+00    	-6.11999923499961e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -3.08181777930169e-15	-3.69605068660419e-30		2.00000024999998e+03
6.24000000000000e+00    	-6.23999921999960e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.10203093900674e-13	-4.13242830826538e-30		2.00000024999998e+03
6.36000000000000e+00    	-6.35999920499958e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.81007346138577e-14	-4.74378787854317e-30		2.00000024999998e+03
6.48000000000000e+00    	-6.47999918999957e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.18869744954192e-13	-5.17959072803805e-30		2.00000024999998e+03
6.60000000000000e+00    	-6.59999917499955e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -3.56873815294431e-14	-6.01728448970502e-30		2.00000024999998e+03
6.72000000000000e+00    	-6.71999915999954e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.25522866113103e-13	-6.43976564525431e-30		2.00000024999998e+03
6.84000000000000e+00    	-6.83999914499952e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 5.56778446206969e-14	-7.54641703005333e-30		2.00000024999998e+03
6.96000000000000e+00    	-6.95999912999951e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.29633475616915e-13	-7.94996181792282e-30		2.00000024999998e+03
7.08000000000000e+00    	-7.07999911499949e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -7.78083611900770e-14	-9.36155950101005e-30		2.00000024999998e+03
7.20000000000000e+00    	-7.19999909999948e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.30689768803693e-13	-9.75263913593707e-30		2.00000024999998e+03
7.32000000000000e+00    	-7.31999908499947e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.01713035727214e-13	-1.14934677302404e-29		2.00000024999998e+03
7.44000000000000e+00    	-7.43999906999945e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.28217033316491e-13	-1.18957187547206e-29		2.00000024999998e+03
7.56000000000000e+00    	-7.55999905499944e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.26927386129307e-13	-1.39734562765689e-29		2.00000024999998e+03
7.68000000000000e+00    	-7.67999903999942e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.21795222110832e-13	-1.44322516595998e-29		2.00000024999998e+03
7.80000000000000e+00    	-7.79999902499941e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.52892789466513e-13	-1.68338833337037e-29		2.00000024999998e+03
7.92000000000000e+00    	-7.91999900999939e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.11078616205661e-13	-1.74196884436679e-29		2.00000024999998e+03
8.04000000000000e+00    	-8.03999899499938e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.78966868555958e-13	-2.01089938500202e-29		2.00000024999998e+03
8.16000000000000e+00    	-8.15999897999937e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 9.58119202771564e-14	-2.09187825799337e-29		2.00000024999998e+03
8.28000000000000e+00    	-8.27999896499935e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.04434672327358e-13	-2.38360589788462e-29		2.00000024999998e+03
8.40000000000000e+00    	-8.39999894999934e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -7.58472218981212e-14	-2.49921431795007e-29		2.00000024999998e+03
8.52000000000000e+00    	-8.51999893499932e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.28525472393138e-13	-2.80567684883202e-29		2.00000024999998e+03
8.64000000000000e+00    	-8.63999891999931e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 5.11561949264724e-14	-2.97025781193403e-29		2.00000024999998e+03
8.76000000000000e+00    	-8.75999890499929e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.50429814140875e-13	-3.28187246040103e-29		2.00000024999998e+03
8.88000000000000e+00    	-8.87999888999928e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.18420533209450e-14	-3.51113225165274e-29		2.00000024999998e+03
9.00000000000000e+00    	-8.99999887499926e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.69321440938085e-13	-3.81769002219467e-29		2.00000024999998e+03
9.12000000000000e+00    	-9.11999885999925e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.18542521877876e-14	-4.12763860210182e-29		2.00000024999998e+03
9.24000000000000e+00    	-9.23999884499923e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.84378543188822e-13	-4.41948530596105e-29		2.00000024999998e+03
