0.00000000000000e+00    	0.00000000000000e+00 	 3.06161699790000e-16  	5.00000000000000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.90000000000000e-01    	1.79191562963729e-11 	 -2.25057649698075e-06   5.00000000000048e+00 	3.65309208539820e-10	 -2.70387267177024e-05	1.60898547688600e-11		1.00000000036555e+00
4.20000000000000e-01    	3.15640541122364e-11 	 -3.15421441715564e-06   5.00000000000120e+00 	5.48761335341228e-10	 -3.31454752952575e-05	3.35526649908445e-11		1.00000000054931e+00
4.50000000000000e-01    	5.09211284573901e-11 	 -4.23159400605137e-06   5.00000000000261e+00 	7.38966294151148e-10	 -3.84734265880226e-05	6.20542980525655e-11		1.00000000074010e+00
4.80000000000000e-01    	7.54245710951851e-11 	 -5.44490043209965e-06   5.00000000000506e+00 	8.80817080923423e-10	 -4.20225727221267e-05	1.03595920123565e-10		1.00000000088295e+00
5.10000000000000e-01    	1.02573334947083e-10 	 -6.72318719406142e-06   5.00000000000895e+00 	9.03297136083585e-10	 -4.25904219168062e-05	1.57499368929712e-10		1.00000000090697e+00
5.40000000000000e-01    	1.27821119580467e-10 	 -7.95699058530679e-06   5.00000000001458e+00 	7.47709099085846e-10	 -3.88220746024057e-05	2.18666101809530e-10		1.00000000075358e+00
5.70000000000000e-01    	1.45669371472649e-10 	 -8.99481853073176e-06   5.00000000002204e+00 	4.20091451454335e-10	 -2.92850125792142e-05	2.76423198508757e-10		1.00000000042881e+00
6.00000000000000e-01    	1.52694186440261e-10 	 -9.64223705162109e-06   5.00000000003098e+00 	6.68995871674550e-11	 -1.25670627843247e-05	3.14946831179372e-10		1.00000000007897e+00
6.30000000000000e-01    	1.53080075394350e-10 	 -9.66420147641632e-06   5.00000000004056e+00 	6.38736958547901e-11	 1.26060087331649e-05	3.16353612575265e-10		1.00000000007946e+00
6.60000000000000e-01    	1.66767704046351e-10 	 -8.79114324288382e-06   5.00000000004945e+00 	1.09699576489768e-09	 4.72387973962415e-05	2.67325177990418e-10		1.00000000111575e+00
6.90000000000000e-01    	2.39531389165676e-10 	 -6.72912956694944e-06   5.00000000005610e+00 	4.20432126939035e-09	 9.19277961661518e-05	1.69487372831958e-10		1.00000000422536e+00
7.20000000000000e-01    	4.53267187202967e-10 	 -3.17416939661546e-06   5.00000000005941e+00 	1.07420221786035e-08	 1.46725021723502e-04	5.27023998823608e-11		1.00000001076412e+00
7.50000000000000e-01    	9.33694319364897e-10 	 2.16954402989006e-06   5.00000000005978e+00 	2.22411752140805e-08	 2.11013667458000e-04	-1.09169977136465e-11		1.00000002226338e+00
7.80000000000000e-01    	1.85186054159746e-09 	 9.56797136659568e-06   5.00000000006053e+00 	4.01367262103697e-08	 2.83406258741058e-04	1.04180690787821e-10		1.00000004015955e+00
