file	phi	r	period	raio_max	px_mean	x_final	eta
2399	0.77499111092522e-01	2.00000000000000e+00	2.51494799999952e+02	1.52331857705280e+00	-1.24808007124240e+00	-5.77355634000000e+02	2.68691025641027e+01
2400	0.21783509475463e+00	2.00000000000000e+00	2.40608399999954e+02	1.50482347619778e+00	-1.23355038794009e+00	-5.68721576000000e+02	2.63247702407003e+01
2401	0.44129071959918e+00	2.00000000000000e+00	2.27435199999956e+02	1.49939798375014e+00	-1.21957179967789e+00	-5.60083634000000e+02	2.53833928571429e+01
2402	08.94177620348565e-01	2.00000000000000e+00	2.20656399999958e+02	1.48665537990035e+00	-1.20489842948537e+00	-5.51389000000000e+02	2.51890867579910e+01
2403	06.89195481958308e-01	2.00000000000000e+00	2.09259999999960e+02	1.47910829677531e+00	-1.18968788793774e+00	-5.42577902000000e+02	2.43892773892776e+01
2404	04.49503199295857e-01	2.00000000000000e+00	2.01972399999962e+02	1.46966612768437e+00	-1.17511637267914e+00	-5.33847221000000e+02	2.39872209026130e+01
2405	0.74956036612854e+00	2.00000000000000e+00	1.94155199999963e+02	1.45986463617738e+00	-1.15909907351853e+00	-5.24971261000000e+02	2.35054721549638e+01
2406	0.84314545604206e+00	2.00000000000000e+00	1.85283599999965e+02	1.45213998930551e+00	-1.14391033249921e+00	-5.16238402000000e+02	2.28745185185186e+01
2407	0.11667369686252e+00	2.00000000000000e+00	1.79546799999965e+02	1.44277780715997e+00	-1.12789726515054e+00	-5.07482020000000e+02	2.25561306532664e+01
2408	01.12785969831121e-01	2.00000000000000e+00	1.71297599999968e+02	1.42929794271138e+00	-1.11184735241336e+00	-4.98760852000000e+02	2.19050639386191e+01
2409	03.62109568596678e-04	2.00000000000000e+00	1.66036399999968e+02	1.42624800450868e+00	-1.09612952542729e+00	-4.90143610000000e+02	2.16193229166668e+01
2410	02.92219993992987e+00	2.00000000000000e+00	1.59518799999970e+02	1.41884146321725e+00	-1.07930803365925e+00	-4.81454520000000e+02	2.11563395225465e+01
2411	02.90696312070669e+00	2.00000000000000e+00	1.54063999999970e+02	1.41023913658221e+00	-1.06338812682590e+00	-4.72855754000000e+02	2.07633423180594e+01
