y	z	phi	r	period	thetamin	thetamax
2.19162833639745e+00	1.91742634040000e-01	8.72664625739254e-02	2.20000000059292e+00	4.81790909090916e+02	5.01398187512931e-02	3.11098456516482e+00
2.29124780621347e+00	2.00458208320000e-01	8.72664625770544e-02	2.30000000060020e+00	4.64066666666678e+02	5.26441168951547e-02	3.10766345293102e+00
2.39086727602822e+00	2.09173782590000e-01	8.72664625758180e-02	2.40000000060534e+00	4.44875000000007e+02	5.34384910375624e-02	3.10797761219638e+00
2.49048674584169e+00	2.17889356870000e-01	8.72664625787099e-02	2.50000000061007e+00	4.32200000000011e+02	5.82765437240907e-02	3.10640681586959e+00
2.59010621565388e+00	2.26604931140000e-01	8.72664625775907e-02	2.60000000061266e+00	4.19600000000008e+02	5.82765437240907e-02	3.10179914664432e+00
2.68972568546479e+00	2.35320505420000e-01	8.72664625802854e-02	2.70000000061484e+00	4.07161538461544e+02	5.81718239689710e-02	3.10334376303234e+00
2.78934515537441e+00	2.44036079690000e-01	8.72664625761572e-02	2.80000000071449e+00	3.98921428571438e+02	6.34078117249540e-02	3.10106610835849e+00
2.88896462518275e+00	2.52751653970000e-01	8.72664625787927e-02	2.90000000071412e+00	3.83009523809530e+02	6.35387114188536e-02	3.09939059227657e+00
2.98858409498982e+00	2.61467228240000e-01	8.72664625779687e-02	3.00000000071160e+00	4.00561538461542e+02	5.78053048260522e-02	3.09651079901078e+00
3.08820356479563e+00	2.70182802520000e-01	8.72664625804469e-02	3.10000000070871e+00	3.56553333333339e+02	6.84867198482575e-02	3.09767318829261e+00
3.18782303460020e+00	2.78898376790000e-01	8.72664625796908e-02	3.20000000070371e+00	3.30862500000005e+02	7.66548607475910e-02	3.08483454631494e+00
3.28744250440355e+00	2.87613951070000e-01	8.72664625820316e-02	3.30000000069836e+00	3.84076190476196e+02	7.39059671756999e-02	3.08200711292671e+00
3.38706197420570e+00	2.96329525340000e-01	8.72664625813354e-02	3.40000000069095e+00	5.73330000000016e+02	3.75263242471301e-01	2.97069001323451e+00
9.84807753281668e-02	1.73648177670000e-02	1.74532925155665e-01	1.00000000026590e-01	9.48450000000026e+02	-1.68987859516419e-01	1.69805177321631e-01
1.96961550654268e-01	3.47296355330000e-02	1.74532925152534e-01	2.00000000050972e-01	9.61450000000029e+02	-1.69705163155507e-01	1.70456443137819e-01
