0.00000000000000e+00    	0.00000000000000e+00 	 2.85316954890000e+00  	9.27050983120000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
7.20000000000000e-01    	1.18465144563444e-06 	 2.85319321736754e+00   9.27050983153346e-01 	4.50906713454485e-06	 -1.05064592237328e-04	1.65369430737203e-10		1.00000000552945e+00
7.50000000000000e-01    	1.30660226632269e-06 	 2.85318868237541e+00   9.27050983168220e-01 	3.53954210096530e-06	 -2.00494273603401e-04	9.29017761336631e-10		1.00000002010524e+00
7.80000000000000e-01    	1.39185275532592e-06 	 2.85318099893794e+00   9.27050983216592e-01 	2.05350946119464e-06	 -3.14756608768339e-04	2.44321216893204e-09		1.00000004953797e+00
8.10000000000000e-01    	1.42421013324216e-06 	 2.85316962741280e+00   9.27050983324919e-01 	8.00787603437014e-09	 -4.45926052472996e-04	4.96592535648241e-09		1.00000009942502e+00
8.40000000000000e-01    	1.38653857371305e-06 	 2.85315410783999e+00   9.27050983526630e-01 	-2.61599751999416e-06	 -5.90597063598602e-04	8.69226542778562e-09		1.00000017440585e+00
8.70000000000000e-01    	1.26155141205684e-06 	 2.85313410567668e+00   9.27050983859124e-01 	-5.80880345388072e-06	 -7.43807984171812e-04	1.36782159569871e-08		1.00000027664199e+00
9.00000000000000e-01    	1.03273333228437e-06 	 2.85310945858550e+00   9.27050984358400e-01 	-9.52814242746473e-06	 -8.99049198769627e-04	1.97624605980067e-08		1.00000040419004e+00
9.30000000000000e-01    	6.85361125692146e-07 	 2.85308022156158e+00   9.27050985051558e-01 	-1.36964438456133e-05	 -1.04836733848591e-03	2.65051633713806e-08		1.00000054963068e+00
9.60000000000000e-01    	2.07590320855390e-07 	 2.85304670739411e+00   9.27050985947983e-01 	-1.81991722524750e-05	 -1.18257290695666e-03	3.31662448481542e-08		1.00000069940470e+00
9.90000000000000e-01    	-4.08423617405676e-07 	 2.85300951931442e+00   9.27050987030760e-01 	-2.28841709165619e-05	 -1.29155340328991e-03	3.87451385816752e-08		1.00000083431659e+00
1.02000000000000e+00    	-1.16539872987229e-06 	 2.85296957270899e+00   9.27050988250412e-01 	-2.75619586438463e-05	 -1.36468802423992e-03	4.20978432154722e-08		1.00000093156610e+00
1.05000000000000e+00    	-2.05982379649498e-06 	 2.85292810298884e+00   9.27050989523366e-01 	-3.20070446058987e-05	 -1.39135362945282e-03	4.21348396937171e-08		1.00000096844422e+00
1.08000000000000e+00    	-3.08091335598708e-06 	 2.85288665711342e+00   9.27050990737435e-01 	-3.59605322281024e-05	 -1.36150517868582e-03	3.80859820086738e-08		1.00000092749433e+00
1.11000000000000e+00    	-4.20966645483993e-06 	 2.85284706686498e+00   9.27050991765832e-01 	-3.91345419127964e-05	 -1.26630765871520e-03	2.97981782950522e-08		1.00000080253298e+00
1.14000000000000e+00    	-5.41809478761783e-06 	 2.85281140274379e+00   9.27050992489977e-01 	-4.12192284847838e-05	 -1.09879098321945e-03	1.80123508828491e-08		1.00000060452014e+00
1.17000000000000e+00    	-6.66871175503571e-06 	 2.85278190828003e+00   9.27050992829453e-01 	-4.18933173450409e-05	 -8.54494837836940e-04	4.55252637998938e-09		1.00000036595817e+00
1.20000000000000e+00    	-7.91440166592716e-06 	 2.85276091559998e+00   9.27050992775449e-01 	-4.08390427356786e-05	 -5.32067295041321e-04	-7.64320354430705e-09		1.00000014238171e+00
1.23000000000000e+00    	-9.09881098260625e-06 	 2.85275074419587e+00   9.27050992421987e-01 	-3.77620667993256e-05	 -1.33779533518400e-04	-1.47088176881986e-08		1.00000000966147e+00
1.26000000000000e+00    	-1.01574125399504e-05 	 2.85275358597799e+00   9.27050991987866e-01 	-3.24163515836706e-05	 3.34080606348391e-04	-1.22850888857176e-08		1.00000005633033e+00
1.29000000000000e+00    	-1.10193801328400e-05 	 2.85277138077519e+00   9.27050991821915e-01 	-2.46330679285474e-05	 8.60971067845362e-04	3.80799699378278e-09		1.00000037093892e+00
