0.00000000000000e+00    	0.00000000000000e+00 	 -1.76335575690000e+00  	2.42705098310000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.05000000000000e+00    	6.67310413027482e-06 	 -1.76316253717734e+00   2.42705097980313e+00 	-2.43677860562098e-05	 -2.54029338124277e-04	-1.01783446407793e-08		1.00000003256235e+00
1.08000000000000e+00    	5.74112864146951e-06 	 -1.76317464329963e+00   2.42705097945287e+00 	-3.79446822888040e-05	 -5.59440109472833e-04	-1.37384897872541e-08		1.00000015720651e+00
1.11000000000000e+00    	4.38798759414844e-06 	 -1.76319644629298e+00   2.42705097893785e+00 	-5.23615401787942e-05	 -8.99023435627934e-04	-2.13920168858254e-08		1.00000040549235e+00
1.14000000000000e+00    	2.59656151046928e-06 	 -1.76322882476392e+00   2.42705097811547e+00 	-6.70629727841159e-05	 -1.26251912222894e-03	-3.44209363920208e-08		1.00000079922567e+00
1.17000000000000e+00    	3.67803526257206e-07 	 -1.76327230616544e+00   2.42705097680962e+00 	-8.14030899147567e-05	 -1.63680649766936e-03	-5.37256376862616e-08		1.00000134288009e+00
1.20000000000000e+00    	-2.27689385483359e-06 	 -1.76332698443480e+00   2.42705097482660e+00 	-9.46696146095728e-05	 -2.00616271839458e-03	-7.95321233213266e-08		1.00000201682356e+00
1.23000000000000e+00    	-5.29412657708539e-06 	 -1.76339244794120e+00   2.42705097197932e+00 	-1.06112391391622e-04	 -2.35269198434174e-03	-1.11140264384340e-07		1.00000277320587e+00
1.26000000000000e+00    	-8.61780113158636e-06 	 -1.76346772285855e+00   2.42705096811755e+00 	-1.14974117316821e-04	 -2.65692338245260e-03	-1.46778839773010e-07		1.00000353622421e+00
1.29000000000000e+00    	-1.21593843919744e-05 	 -1.76355123687258e+00   2.42705096316021e+00 	-1.20521115420159e-04	 -2.89856587555100e-03	-1.83631003832979e-07		1.00000420809590e+00
1.32000000000000e+00    	-1.58090540281417e-05 	 -1.76364080764378e+00   2.42705095712367e+00 	-1.22072358722772e-04	 -3.05739947027498e-03	-2.18077681926423e-07		1.00000468128566e+00
1.35000000000000e+00    	-1.94376790793820e-05 	 -1.76373365967768e+00   2.42705095013921e+00 	-1.19025706762889e-04	 -3.11427230962235e-03	-2.46175751335992e-07		1.00000485641781e+00
1.38000000000000e+00    	-2.28995437383109e-05 	 -1.76382647221537e+00   2.42705094245288e+00 	-1.10881315050794e-04	 -3.05216484822411e-03	-2.64345204362179e-07		1.00000466399162e+00
1.41000000000000e+00    	-2.60357421274024e-05 	 -1.76391545947911e+00   2.42705093440249e+00 	-9.72632220047247e-05	 -2.85727488832168e-03	-2.70190449261163e-07		1.00000408673165e+00
1.44000000000000e+00    	-2.86782155155691e-05 	 -1.76399648313365e+00   2.42705092636945e+00 	-7.79409565013657e-05	 -2.52007156332972e-03	-2.63333867385106e-07		1.00000317841272e+00
1.47000000000000e+00    	-3.06544658720960e-05 	 -1.76406519521004e+00   2.42705091870728e+00 	-5.28533812413947e-05	 -2.03626278511157e-03	-2.46104758372718e-07		1.00000207457768e+00
1.50000000000000e+00    	-3.17930434228419e-05 	 -1.76411720805353e+00   2.42705091165383e+00 	-2.21366762940594e-05	 -1.40761957780896e-03	-2.23913900958987e-07		1.00000099094099e+00
1.53000000000000e+00    	-3.19299483807079e-05 	 -1.76414828617751e+00   2.42705090523888e+00 	1.38427417073114e-05	 -6.42602366780122e-04	-2.05161100653217e-07		1.00000020656471e+00
1.56000000000000e+00    	-3.09160843887124e-05 	 -1.76415455331496e+00   2.42705089920289e+00 	5.44514420774648e-05	 2.43261177407046e-04	-2.00574106896368e-07		1.00000003107050e+00
1.59000000000000e+00    	-2.86258332327001e-05 	 -1.76413270654566e+00   2.42705089294449e+00 	9.87518474096648e-05	 1.22728970816290e-03	-2.21960143890993e-07		1.00000075799571e+00
1.62000000000000e+00    	-2.49666758855288e-05 	 -1.76408022822651e+00   2.42705088551328e+00 	1.45470842333415e-04	 2.27988595278372e-03	-2.80457278892653e-07		1.00000260951750e+00
1.65000000000000e+00    	-1.98895665494097e-05 	 -1.76399558564744e+00   2.42705087566018e+00 	1.92982461175562e-04	 3.36511872854706e-03	-3.84486782942658e-07		1.00000568061708e+00
1.68000000000000e+00    	-1.33994934646459e-05 	 -1.76387840794642e+00   2.42705086195011e+00 	2.39314299496770e-04	 4.44165459230077e-03	-5.37709537489514e-07		1.00000989273464e+00
1.71000000000000e+00    	-5.56536930920805e-06 	 -1.76372962990021e+00   2.42705084293121e+00 	2.82187130498609e-04	 5.46402832968991e-03	-7.37357496736768e-07		1.00001496750584e+00
1.74000000000000e+00    	3.47186453579107e-06 	 -1.76355159279546e+00   2.42705081734372e+00 	3.19095192509818e-04	 6.38422460205629e-03	-9.73325234590150e-07		1.00002042986454e+00
1.77000000000000e+00    	1.34942038239777e-05 	 -1.76334809368661e+00   2.42705078434038e+00 	3.47430636191187e-04	 7.15352625263838e-03	-1.22835280757154e-06		1.00002564649483e+00
1.80000000000000e+00    	2.42059232470011e-05 	 -1.76312437594126e+00   2.42705074368220e+00 	3.64649913252682e-04	 7.72456885767125e-03	-1.47950559419926e-06		1.00002990052087e+00
1.83000000000000e+00    	3.52384323020518e-05 	 -1.76288705601572e+00   2.42705069586989e+00 	3.68473058118765e-04	 8.05352689380767e-03	-1.70096799922790e-06		1.00003249700733e+00
1.86000000000000e+00    	4.61614059663746e-05 	 -1.76264398382305e+00   2.42705064217416e+00 	3.57099799515153e-04	 8.10234510376720e-03	-1.86793775491172e-06		1.00003288721918e+00
1.89000000000000e+00    	5.65003757582434e-05 	 -1.76240403676842e+00   2.42705058453802e+00 	3.29420405874526e-04	 7.84091988619246e-03	-1.96116947175221e-06		1.00003079379903e+00
1.92000000000000e+00    	6.57602415024130e-05 	 -1.76217685043534e+00   2.42705052534112e+00 	2.85195340721284e-04	 7.24913029598661e-03	-1.97151121686946e-06		1.00002631526891e+00
1.95000000000000e+00    	7.34533710381224e-05 	 -1.76197249190903e+00   2.42705046703787e+00 	2.25177257324228e-04	 6.31861688421750e-03	-1.90364903019575e-06		1.00001998761412e+00
1.98000000000000e+00    	7.91302035041800e-05 	 -1.76180108471432e+00   2.42705041170513e+00 	1.51152307069361e-04	 5.05420940522810e-03	-1.77825861529219e-06		1.00001278385973e+00
2.01000000000000e+00    	8.24096845181509e-05 	 -1.76167239721047e+00   2.42705036055803e+00 	6.58853306444550e-05	 3.47491157377539e-03	-1.63188499166856e-06		1.00000603965875e+00
2.04000000000000e+00    	8.30065566335264e-05 	 -1.76159540890405e+00   2.42705031350905e+00 	-2.70352773796749e-05	 1.61436269558592e-03	-1.51413394249243e-06		1.00000130344921e+00
2.07000000000000e+00    	8.07525985052187e-05 	 -1.76157787137549e+00   2.42705026885253e+00 	-1.23443625194754e-04	 -4.79287856182781e-04	-1.48214377513449e-06		1.00000012247868e+00
