0.00000000000000e+00    	0.00000000000000e+00 	 -1.00000000000000e+01  	1.22464679910000e-15    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.23000000000000e+00    	-5.77397975501841e-06 	 -1.00001811043366e+01   1.22464679977324e-15 	-4.79104135251982e-05	 3.42197050700852e-04	2.96848580308897e-24		1.00000005969711e+00
1.26000000000000e+00    	-7.21863594377118e-06 	 -1.00001669692105e+01   1.22464679986187e-15 	-4.80830250885287e-05	 6.03507204089918e-04	2.95626452354341e-24		1.00000018326644e+00
1.29000000000000e+00    	-8.63860359094429e-06 	 -1.00001447361118e+01   1.22464679995229e-15 	-4.62220673703463e-05	 8.80533165429122e-04	3.11236903546095e-24		1.00000038873749e+00
1.32000000000000e+00    	-9.96940799444095e-06 	 -1.00001140804972e+01   1.22464680005190e-15 	-4.21088683126603e-05	 1.16317752520482e-03	3.59747070581464e-24		1.00000067737733e+00
1.35000000000000e+00    	-1.11412412033898e-05 	 -1.00000750065846e+01   1.22464680017315e-15 	-3.56098422187323e-05	 1.43967003915034e-03	4.58337782818389e-24		1.00000103695840e+00
1.38000000000000e+00    	-1.20817932316223e-05 	 -1.00000278925101e+01   1.22464680033349e-15 	-2.66943948388761e-05	 1.69692122039803e-03	6.22669782181843e-24		1.00000144012607e+00
1.41000000000000e+00    	-1.27195517639942e-05 	 -9.99997352325174e+00   1.22464680055446e-15 	-1.54479752309319e-05	 1.92098276842234e-03	8.63801829278234e-24		1.00000184520502e+00
1.44000000000000e+00    	-1.29874015527840e-05 	 -9.99991310827351e+00   1.22464680085983e-15 	-2.07879701104761e-06	 2.09760341239803e-03	1.18513656503534e-23		1.00000219996978e+00
1.47000000000000e+00    	-1.28263176392184e-05 	 -9.99984828127237e+00   1.22464680127293e-15 	1.30827301560592e-05	 2.21286283192801e-03	1.57999177853644e-23		1.00000244846354e+00
1.50000000000000e+00    	-1.21889279020350e-05 	 -9.99978108001769e+00   1.22464680181342e-15 	2.95921191034238e-05	 2.25386075267134e-03	2.03042948560306e-23		1.00000254037877e+00
1.53000000000000e+00    	-1.10427244702847e-05 	 -9.99971390503472e+00   1.22464680249391e-15 	4.69059388978405e-05	 2.20943340699866e-03	2.50789483661391e-23		1.00000244189509e+00
1.56000000000000e+00    	-9.37273144558232e-06 	 -9.99964945677893e+00   1.22464680331722e-15 	6.44026532338198e-05	 2.07086559684456e-03	2.97600966207119e-23		1.00000214631371e+00
1.59000000000000e+00    	-7.18348561293457e-06 	 -9.99959065194512e+00   1.22464680427465e-15 	8.14072278490640e-05	 1.83256386590744e-03	3.39554213475538e-23		1.00000168245731e+00
1.62000000000000e+00    	-4.50025093838513e-06 	 -9.99954052061135e+00   1.22464680534612e-15 	9.72172215053263e-05	 1.49265500737869e-03	3.73117040383918e-23		1.00000111873445e+00
1.65000000000000e+00    	-1.36945688808914e-06 	 -9.99950208698984e+00   1.22464680650252e-15 	1.11128094003398e-04	 1.05347447251283e-03	3.95923341292357e-23		1.00000056107880e+00
1.68000000000000e+00    	2.14158683847417e-06 	 -9.99947823759356e+00   1.22464680771037e-15 	1.22455891160175e-04	 5.21911309980144e-04	4.07529256691400e-23		1.00000014369342e+00
1.71000000000000e+00    	5.94560259384788e-06 	 -9.99947158157628e+00   1.22464680893848e-15 	1.30556267567511e-04	 -9.04199125516199e-05	4.10009522994079e-23		1.00000001261035e+00
1.74000000000000e+00    	9.93677186200605e-06 	 -9.99948430881376e+00   1.22464681016610e-15 	1.34839871759157e-04	 -7.67204223526840e-04	4.08250816001267e-23		1.00000030339201e+00
1.77000000000000e+00    	1.39925828582423e-05 	 -9.99951805191381e+00   1.22464681139124e-15 	1.34785262612973e-04	 -1.48766531293197e-03	4.09822442907527e-23		1.00000111565695e+00
1.80000000000000e+00    	1.79760549589250e-05 	 -9.99957375872843e+00   1.22464681263795e-15 	1.29951519374798e-04	 -2.22702699744977e-03	4.24355126030822e-23		1.00000248826523e+00
1.83000000000000e+00    	2.17383713014063e-05 	 -9.99965158205458e+00   1.22464681396093e-15 	1.19993307048136e-04	 -2.95719600919294e-03	4.62432088511609e-23		1.00000437969372e+00
1.86000000000000e+00    	2.51220352662028e-05 	 -9.99975079302420e+00   1.22464681544619e-15 	1.04681153003824e-04	 -3.64765481528913e-03	5.34084435914311e-23		1.00000665814973e+00
1.89000000000000e+00    	2.79647399196074e-05 	 -9.99986972418426e+00   1.22464681720688e-15 	8.39289480704619e-05	 -4.26654269729480e-03	6.47071838980388e-23		1.00000910517388e+00
1.92000000000000e+00    	3.01041792839498e-05 	 -1.00000057474541e+01   1.22464681937390e-15 	5.78291946906791e-05	 -4.78189304884558e-03	8.05203939210496e-23		1.00001143485730e+00
1.95000000000000e+00    	3.13840157343207e-05 	 -1.00001552910348e+01   1.22464682208192e-15 	2.66944197079941e-05	 -5.16298527369626e-03	1.00700154848065e-22		1.00001332847594e+00
1.98000000000000e+00    	3.16611343406107e-05 	 -1.00003138979653e+01   1.22464682545223e-15 	-8.89926895563773e-06	 -5.38176126339592e-03	1.24499594793717e-22		1.00001448161189e+00
2.01000000000000e+00    	3.08141583550865e-05 	 -1.00004763274122e+01   1.22464682957486e-15 	-4.80728705806200e-05	 -5.41424965218244e-03	1.50591120528118e-22		1.00001465809772e+00
2.04000000000000e+00    	2.87529793370426e-05 	 -1.00006366980095e+01   1.22464683449269e-15 	-8.96176376516110e-05	 -5.24193628328017e-03	1.77186810945938e-22		1.00001374286923e+00
2.07000000000000e+00    	2.54287939921271e-05 	 -1.00007886706795e+01   1.22464684019068e-15 	-1.31989701367559e-04	 -4.85301690739807e-03	2.02259809985651e-22		1.00001178452775e+00
2.10000000000000e+00    	2.08438740634709e-05 	 -1.00009256664598e+01   1.22464684659315e-15 	-1.73334611178874e-04	 -4.24346832805566e-03	2.23847985996955e-22		1.00000901849350e+00
2.13000000000000e+00    	1.50600709994190e-05 	 -1.00010411129895e+01   1.22464685357086e-15 	-2.11548031995957e-04	 -3.41787718560490e-03	2.40403623237093e-22		1.00000586330132e+00
2.16000000000000e+00    	8.20492191940492e-06 	 -1.00011287115658e+01   1.22464686095873e-15 	-2.44375083480423e-04	 -2.38997142048701e-03	2.51138545568158e-22		1.00000288583712e+00
2.19000000000000e+00    	4.74220814568510e-07 	 -1.00011827151512e+01   1.22464686858305e-15 	-2.69545793530526e-04	 -1.18280816488578e-03	2.56305892899302e-22		1.00000073584477e+00
2.22000000000000e+00    	-7.86992137189723e-06 	 -1.00011982064680e+01   1.22464687629553e-15 	-2.84938462769232e-04	 1.71416747521624e-04	2.57360269223403e-22		1.00000005528681e+00
