t	x	y	z	px	py	pz	gam	Ex	Ey	Ez	Bx	By	Bz
1.55000000e+00	-1.09601551e+00	2.00000809e+00	2.43406382e-11	-9.99999999e-01	5.84791377e-05	5.63625128e-11	1.41421356e+00	0.00000000e+00	-6.42727650e-04	0.00000000e+00	5.11464344e-05	0.00000000e+00	-6.42727650e-04
1.60000000e+00	-1.13137085e+00	2.00000904e+00	2.49810728e-11	-1.00000000e+00	-7.99495584e-06	1.05420923e-12	1.41421356e+00	0.00000000e+00	-8.83460256e-04	0.00000000e+00	7.03032155e-05	0.00000000e+00	-8.83460256e-04
1.65000000e+00	-1.16672619e+00	2.00000739e+00	2.65505384e-11	-9.99999998e-01	-8.56277574e-05	1.20841061e-10	1.41421356e+00	0.00000000e+00	-8.90313233e-04	0.00000000e+00	7.08486141e-05	0.00000000e+00	-8.90313233e-04
1.70000000e+00	-1.20208153e+00	2.00000312e+00	3.52569642e-11	-9.99999995e-01	-1.51863841e-04	3.80095487e-10	1.41421357e+00	0.00000000e+00	-6.14745941e-04	0.00000000e+00	4.89198513e-05	0.00000000e+00	-6.14745941e-04
1.75000000e+00	-1.23743687e+00	1.99999706e+00	5.24238165e-11	-9.99999993e-01	-1.83439743e-04	5.54588581e-10	1.41421357e+00	0.00000000e+00	-9.15421285e-05	0.00000000e+00	7.28470182e-06	0.00000000e+00	-9.15421285e-05
1.80000000e+00	-1.27279220e+00	1.99999076e+00	7.09658512e-11	-9.99999994e-01	-1.63852267e-04	4.42474699e-10	1.41421357e+00	0.00000000e+00	5.57361730e-04	0.00000000e+00	-4.43536421e-05	0.00000000e+00	5.57361730e-04
1.85000000e+00	-1.30814754e+00	1.99998612e+00	8.12532171e-11	-9.99999998e-01	-8.99537446e-05	1.33356425e-10	1.41421356e+00	0.00000000e+00	1.14736940e-03	0.00000000e+00	-9.13053890e-05	0.00000000e+00	1.14736940e-03
1.90000000e+00	-1.34350288e+00	1.99998489e+00	8.26123582e-11	-1.00000000e+00	2.46643389e-05	1.00222409e-11	1.41421356e+00	0.00000000e+00	1.48063724e-03	0.00000000e+00	-1.17826258e-04	0.00000000e+00	1.48063724e-03
1.95000000e+00	-1.37885822e+00	1.99998801e+00	8.79529054e-11	-9.99999995e-01	1.51158363e-04	3.76571511e-10	1.41421357e+00	0.00000000e+00	1.40809551e-03	0.00000000e+00	-1.12053352e-04	0.00000000e+00	1.40809551e-03
2.00000000e+00	-1.41421356e+00	1.99999527e+00	1.13029072e-10	-9.99999987e-01	2.52106470e-04	1.04749788e-09	1.41421358e+00	0.00000000e+00	8.85624753e-04	0.00000000e+00	-7.04759452e-05	0.00000000e+00	8.85624753e-04
2.05000000e+00	-1.44956890e+00	2.00000511e+00	1.58261458e-10	-9.99999982e-01	2.92028500e-04	1.40551518e-09	1.41421358e+00	0.00000000e+00	5.02856333e-06	0.00000000e+00	-4.00159324e-07	0.00000000e+00	5.02856333e-06
2.10000000e+00	-1.48492424e+00	2.00001493e+00	2.03316957e-10	-9.99999987e-01	2.48944510e-04	1.02138942e-09	1.41421358e+00	0.00000000e+00	-1.01416532e-03	0.00000000e+00	8.07041096e-05	0.00000000e+00	-1.01416532e-03
2.15000000e+00	-1.52027957e+00	2.00002173e+00	2.25647586e-10	-9.99999997e-01	1.23401874e-04	2.50984969e-10	1.41421357e+00	0.00000000e+00	-1.87526002e-03	0.00000000e+00	1.49226829e-04	0.00000000e+00	-1.87526002e-03
2.20000000e+00	-1.55563491e+00	2.00002299e+00	2.28001174e-10	-9.99999999e-01	-5.83056160e-05	5.60416068e-11	1.41421356e+00	0.00000000e+00	-2.28712663e-03	0.00000000e+00	1.82001663e-04	0.00000000e+00	-2.28712663e-03
2.25000000e+00	-1.59099025e+00	2.00001751e+00	2.43793395e-10	-9.99999987e-01	-2.48601759e-04	1.01857844e-09	1.41421358e+00	0.00000000e+00	-2.05706630e-03	0.00000000e+00	1.63694702e-04	0.00000000e+00	-2.05706630e-03
2.30000000e+00	-1.62634559e+00	2.00000598e+00	3.06670772e-10	-9.99999968e-01	-3.90445971e-04	2.51249625e-09	1.41421359e+00	0.00000000e+00	-1.16542641e-03	0.00000000e+00	9.27414097e-05	0.00000000e+00	-1.16542641e-03
2.35000000e+00	-1.66170093e+00	1.99999107e+00	4.10493139e-10	-9.99999961e-01	-4.33777633e-04	3.10111545e-09	1.41421360e+00	0.00000000e+00	2.04347607e-04	0.00000000e+00	-1.62615386e-05	0.00000000e+00	2.04347607e-04
2.40000000e+00	-1.69705626e+00	1.99997680e+00	5.05729177e-10	-9.99999974e-01	-3.52017016e-04	2.04224804e-09	1.41421359e+00	0.00000000e+00	1.69572239e-03	0.00000000e+00	-1.34942866e-04	0.00000000e+00	1.69572239e-03
2.45000000e+00	-1.73241160e+00	1.99996757e+00	5.47392855e-10	-9.99999995e-01	-1.53432922e-04	3.87952150e-10	1.41421357e+00	0.00000000e+00	2.86746215e-03	0.00000000e+00	-2.28189088e-04	0.00000000e+00	2.86746215e-03
2.50000000e+00	-1.76776694e+00	1.99996681e+00	5.51243128e-10	-9.99999997e-01	1.16858304e-04	2.25021306e-10	1.41421357e+00	0.00000000e+00	3.31992226e-03	0.00000000e+00	-2.64195404e-04	0.00000000e+00	3.31992226e-03
2.55000000e+00	-1.80312228e+00	1.99997582e+00	5.92689029e-10	-9.99999969e-01	3.86079525e-04	2.45661077e-09	1.41421359e+00	0.00000000e+00	2.82424141e-03	0.00000000e+00	-2.24748707e-04	0.00000000e+00	2.82424141e-03
2.60000000e+00	-1.83847762e+00	1.99999313e+00	7.34005902e-10	-9.99999932e-01	5.72693451e-04	5.40542808e-09	1.41421363e+00	0.00000000e+00	1.41426119e-03	0.00000000e+00	-1.12543717e-04	0.00000000e+00	1.41426119e-03
2.65000000e+00	-1.87383295e+00	2.00001455e+00	9.47977653e-10	-9.99999923e-01	6.10324521e-04	6.13913622e-09	1.41421364e+00	0.00000000e+00	-5.92055306e-04	0.00000000e+00	4.71139216e-05	0.00000000e+00	-5.92055306e-04
2.70000000e+00	-1.90918828e+00	2.00003417e+00	1.12836328e-09	-9.99999954e-01	4.69882305e-04	3.63888700e-09	1.41421361e+00	0.00000000e+00	-2.65670762e-03	0.00000000e+00	2.11410464e-04	0.00000000e+00	-2.65670762e-03
2.75000000e+00	-1.94454362e+00	2.00004591e+00	1.19697327e-09	-9.99999994e-01	1.72829000e-04	4.92399604e-10	1.41421357e+00	0.00000000e+00	-4.16121922e-03	0.00000000e+00	3.31131704e-04	0.00000000e+00	-4.16121922e-03
2.80000000e+00	-1.97989896e+00	2.00004537e+00	1.20428096e-09	-9.99999991e-01	-2.09525882e-04	7.23643523e-10	1.41421357e+00	0.00000000e+00	-4.58695267e-03	0.00000000e+00	3.65009816e-04	0.00000000e+00	-4.58695267e-03
2.85000000e+00	-2.01525430e+00	2.00003132e+00	1.30268062e-09	-9.99999932e-01	-5.72066699e-04	5.39360620e-09	1.41421363e+00	0.00000000e+00	-3.68489626e-03	0.00000000e+00	2.93230135e-04	0.00000000e+00	-3.68489626e-03
2.90000000e+00	-2.05060963e+00	2.00000647e+00	1.59337854e-09	-9.99999866e-01	-8.04019929e-04	1.06540961e-08	1.41421370e+00	0.00000000e+00	-1.58131260e-03	0.00000000e+00	1.25836452e-04	0.00000000e+00	-1.58131260e-03
2.95000000e+00	-2.08596496e+00	1.99997702e+00	1.99774302e-09	-9.99999860e-01	-8.21894481e-04	1.11330700e-08	1.41421370e+00	0.00000000e+00	1.22020835e-03	0.00000000e+00	-9.71022116e-05	0.00000000e+00	1.22020835e-03
3.00000000e+00	-2.12132029e+00	1.99995123e+00	2.31016455e-09	-9.99999926e-01	-5.97645348e-04	5.88655279e-09	1.41421364e+00	0.00000000e+00	3.95184062e-03	0.00000000e+00	-3.14485153e-04	0.00000000e+00	3.95184062e-03
3.05000000e+00	-2.15667563e+00	1.99993714e+00	2.41151214e-09	-9.99999994e-01	-1.72959714e-04	4.92737151e-10	1.41421357e+00	0.00000000e+00	5.78697372e-03	0.00000000e+00	-4.60527210e-04	0.00000000e+00	5.78697372e-03
