tfwhm	phi	r	period	raio_max	px_mean	x_f	eta
230	0.00000000000000e+00	1.00000000000000e+00	2.75701609306488e+02	6.79399539329689e-01	-9.19282651624160e-01	-1.24017780000000e+03	2.98820079876374e+01
240	0.00000000000000e+00	1.00000000000000e+00	2.75208428017888e+02	6.69109993565995e-01	-9.21655274871022e-01	-1.24515162000000e+03	2.98933543918053e+01
250	0.00000000000000e+00	1.00000000000000e+00	2.74965103663924e+02	6.59404071345906e-01	-9.23835789851323e-01	-1.24978828000000e+03	2.98994012736198e+01
260	0.00000000000000e+00	1.00000000000000e+00	2.74590247363458e+02	6.51040097461801e-01	-9.25895406657093e-01	-1.25417139000000e+03	2.99237172524765e+01
270	0.00000000000000e+00	1.00000000000000e+00	2.74409130976593e+02	6.42288903168406e-01	-9.27821296011297e-01	-1.25828509000000e+03	2.99543558672407e+01
280	0.00000000000000e+00	1.00000000000000e+00	2.74176355203795e+02	6.34325078164561e-01	-9.29627791848574e-01	-1.26215765000000e+03	2.99944297090111e+01
290	0.00000000000000e+00	1.00000000000000e+00	2.73969882463206e+02	6.26575399587449e-01	-9.31341760177295e-01	-1.26583941000000e+03	3.00046665381779e+01
300	0.00000000000000e+00	1.00000000000000e+00	2.73752435413583e+02	6.18922122099168e-01	-9.32945146031511e-01	-1.26931653000000e+03	3.00294091500876e+01
310	0.00000000000000e+00	1.00000000000000e+00	2.73584430642459e+02	6.12353479000566e-01	-9.34462734860481e-01	-1.27261116000000e+03	3.00439366286751e+01
320	0.00000000000000e+00	1.00000000000000e+00	2.73480234171275e+02	6.05051465276630e-01	-9.35900848893106e-01	-1.27575155000000e+03	3.00986003264744e+01
330	0.00000000000000e+00	1.00000000000000e+00	2.73250225036373e+02	5.98604898775299e-01	-9.37272671893995e-01	-1.27873689000000e+03	3.01064204826818e+01
340	0.00000000000000e+00	1.00000000000000e+00	2.73042542553231e+02	5.92330822967815e-01	-9.38571931827767e-01	-1.28158527000000e+03	3.01167205303898e+01
350	0.00000000000000e+00	1.00000000000000e+00	2.73082007213070e+02	5.85814120137013e-01	-9.39817496976581e-01	-1.28431198000000e+03	3.01347301399352e+01
360	0.00000000000000e+00	1.00000000000000e+00	2.72765377774599e+02	5.80985065875467e-01	-9.40994583516377e-01	-1.28691337000000e+03	3.01330418858018e+01
