0.00000000000000e+00    	0.00000000000000e+00 	 6.12323399570000e-16  	1.00000000000000e+01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.26000000000000e+00    	-5.22028337858910e-06 	 -3.55232154077378e-04   9.99999999795996e+00 	-3.47574069187799e-05	 -2.35870526154913e-03	-2.06796061035587e-08		1.00000278234542e+00
1.29000000000000e+00    	-6.24996431381579e-06 	 -4.25033163063102e-04   9.99999999726284e+00 	-3.36577373766934e-05	 -2.27783429400139e-03	-2.57992098478330e-08		1.00000259482759e+00
1.32000000000000e+00    	-7.22507746621813e-06 	 -4.90840771303898e-04   9.99999999641394e+00 	-3.10918773231906e-05	 -2.09097084052044e-03	-3.07242363708102e-08		1.00000218656049e+00
1.35000000000000e+00    	-8.09920424961420e-06 	 -5.49358458571524e-04   9.99999999542579e+00 	-2.68996903726184e-05	 -1.79098245047689e-03	-3.50106965676537e-08		1.00000160416958e+00
1.38000000000000e+00    	-8.82135181500398e-06 	 -5.97138214075446e-04   9.99999999432361e+00 	-2.09380417530720e-05	 -1.37502727870930e-03	-3.82721867540667e-08		1.00000094556876e+00
1.41000000000000e+00    	-9.33664730660479e-06 	 -6.30719775955132e-04   9.99999999314210e+00 	-1.30942554383549e-05	 -8.45232152864541e-04	-4.02783620684631e-08		1.00000035729436e+00
1.44000000000000e+00    	-9.58754506311137e-06 	 -6.46787876170590e-04   9.99999999191934e+00 	-3.30691367753792e-06	 -2.09206846896596e-04	-4.10525912061641e-08		1.00000002188922e+00
1.47000000000000e+00    	-9.51576524850488e-06 	 -6.42341922900880e-04   9.99999999068784e+00 	8.40639911626181e-06	 5.19648323571083e-04	-4.09498425934001e-08		1.00000013505252e+00
1.50000000000000e+00    	-9.06514385707675e-06 	 -6.14871348270903e-04   9.99999998946399e+00 	2.19166232130950e-05	 1.32207835349276e-03	-4.06947439302100e-08		1.00000087418537e+00
1.53000000000000e+00    	-8.18547829959171e-06 	 -5.62528864058084e-04   9.99999998823703e+00 	3.69501762619174e-05	 2.17318110783191e-03	-4.13622999055731e-08		1.00000236203793e+00
1.56000000000000e+00    	-6.83730148679324e-06 	 -4.84293172197350e-04   9.99999998695969e+00 	5.30611833778663e-05	 3.04290417202833e-03	-4.42903201022903e-08		1.00000463102992e+00
1.59000000000000e+00    	-4.99732392628118e-06 	 -3.80112331982642e-04   9.99999998554254e+00 	6.96158807934937e-05	 3.89683609857194e-03	-5.09228628692630e-08		1.00000759506013e+00
1.62000000000000e+00    	-2.66407327445486e-06 	 -2.51019040217320e-04   9.99999998385381e+00 	8.57961047418292e-05	 4.69728336178310e-03	-6.25968042009339e-08		1.00001103585508e+00
1.65000000000000e+00    	1.36930704826646e-07 	 -9.92095650661782e-05   9.99999998172631e+00 	1.00627499099649e-04	 5.40460982253383e-03	-8.02971101348219e-08		1.00001460985989e+00
1.68000000000000e+00    	3.34926024344688e-06 	 7.19210009407644e-05   9.99999997897159e+00 	1.13035428600977e-04	 5.97880095229835e-03	-1.04418108759584e-07		1.00001787925909e+00
1.71000000000000e+00    	6.88375144867306e-06 	 2.57793150952017e-04   9.99999997540068e+00 	1.21927738860879e-04	 6.38120118715876e-03	-1.34575428918671e-07		1.00002036709008e+00
1.74000000000000e+00    	1.06194987428032e-05 	 4.52711274041863e-04   9.99999997084914e+00 	1.26298892884113e-04	 6.57636028988823e-03	-1.69513987539088e-07		1.00002163199908e+00
1.77000000000000e+00    	1.44081711874357e-05 	 6.49988020354007e-04   9.99999996520287e+00 	1.25345303574520e-04	 6.53391416056860e-03	-2.07149936083504e-07		1.00002135364488e+00
1.80000000000000e+00    	1.80817822410773e-05 	 8.42124528037824e-04   9.99999995842048e+00 	1.18577696417603e-04	 6.23041774492500e-03	-2.44768506438552e-07		1.00001941589451e+00
1.83000000000000e+00    	2.14635790492952e-05 	 1.02104379068270e-03   9.99999995054721e+00 	1.05913933049892e-04	 5.65104303885468e-03	-2.79376423379775e-07		1.00001597262507e+00
1.86000000000000e+00    	2.43812130875903e-05 	 1.17837182980810e-03   9.99999994171645e+00 	8.77356446639761e-05	 4.79105406666196e-03	-3.08179743569220e-07		1.00001148088245e+00
1.89000000000000e+00    	2.66808880829571e-05 	 1.30575873882171e-03   9.99999993213560e+00 	6.48947298670003e-05	 3.65697340375924e-03	-3.29129771966156e-07		1.00000668881058e+00
1.92000000000000e+00    	2.82408390081543e-05 	 1.39522919170268e-03   9.99999992205561e+00 	3.86613209003373e-05	 2.26736150147080e-03	-3.41456096412704e-07		1.00000257120819e+00
1.95000000000000e+00    	2.89823575377281e-05 	 1.43954977770356e-03   9.99999991172585e+00 	1.06127754571806e-05	 6.53140815860097e-04	-3.46091898206002e-07		1.00000021335282e+00
1.98000000000000e+00    	2.88767040496983e-05 	 1.43259865529376e-03   9.99999990133905e+00 	-1.75273392709619e-05	 -1.14258853471119e-03	-3.45896893733508e-07		1.00000065290773e+00
2.01000000000000e+00    	2.79466584444946e-05 	 1.36972164007467e-03   9.99999989097359e+00 	-4.40818175172279e-05	 -3.06527642146161e-03	-3.45600184050068e-07		1.00000469892039e+00
2.04000000000000e+00    	2.62621403131876e-05 	 1.24805807340941e-03   9.99999988054227e+00 	-6.76175656035140e-05	 -5.05020685055557e-03	-3.51419069806145e-07		1.00001275449941e+00
2.07000000000000e+00    	2.39302015333063e-05 	 1.06681976505592e-03   9.99999986975748e+00 	-8.71174504194851e-05	 -7.02432768041762e-03	-3.70357658380487e-07		1.00002467408007e+00
2.10000000000000e+00    	2.10806429001403e-05 	 8.27507036401761e-04   9.99999985812146e+00 	-1.02095038533305e-04	 -8.90858946711685e-03	-4.09244944417740e-07		1.00003968590744e+00
2.13000000000000e+00    	1.78493792623095e-05 	 5.34047437138659e-04   9.99999984494804e+00 	-1.12626256861212e-04	 -1.06207313095216e-02	-4.73627577636099e-07		1.00005640471848e+00
2.16000000000000e+00    	1.43623114760546e-05 	 1.92845038176964e-04   9.99999982941768e+00 	-1.19282566046900e-04	 -1.20784270914430e-02	-5.66677929667610e-07		1.00007294865407e+00
2.19000000000000e+00    	1.07227106739278e-05 	 -1.87268767823756e-04   9.99999981066285e+00 	-1.22965130621874e-04	 -1.32026836018340e-02	-6.88303660210926e-07		1.00008715918923e+00
2.22000000000000e+00    	7.00487764814531e-06 	 -5.95188430762913e-04   9.99999978787467e+00 	-1.24656788707989e-04	 -1.39213638337534e-02	-8.34642990281473e-07		1.00009690526019e+00
2.25000000000000e+00    	3.25607365710900e-06 	 -1.01779283898439e-03   9.99999976041692e+00 	-1.25125744968299e-04	 -1.41726952120258e-02	-9.98096125747610e-07		1.00010043542987e+00
2.28000000000000e+00    	-4.92519962832246e-07 	 -1.44030656049899e-03   9.99999972792994e+00 	-1.24628847364095e-04	 -1.39086141460198e-02	-1.16797839549723e-06		1.00009672786245e+00
2.31000000000000e+00    	-4.20662727994606e-06 	 -1.84675659020643e-03   9.99999969040555e+00 	-1.22670171659354e-04	 -1.30977954332981e-02	-1.33179077119754e-06		1.00008577996838e+00
2.34000000000000e+00    	-7.82398792671037e-06 	 -2.22051313376716e-03   9.99999964821591e+00 	-1.17870134473874e-04	 -1.17282177717339e-02	-1.47699979612097e-06		1.00006878012847e+00
2.37000000000000e+00    	-1.12277805431671e-05 	 -2.54489875721275e-03   9.99999960208384e+00 	-1.07990254173612e-04	 -9.80912506991954e-03	-1.59311688255827e-06		1.00004811414205e+00
2.40000000000000e+00    	-1.42234728313146e-05 	 -2.80384626600205e-03   9.99999955298992e+00 	-9.01391672182817e-05	 -7.37225756233532e-03	-1.67378384294270e-06		1.00002717878538e+00
2.43000000000000e+00    	-1.65245923701453e-05 	 -2.98258208562822e-03   9.99999950202119e+00 	-6.11583829051896e-05	 -4.47224721618159e-03	-1.71852432161784e-06		1.00001000231921e+00
2.46000000000000e+00    	-1.77524054286638e-05 	 -3.06830888883978e-03   9.99999945017644e+00 	-1.81548925300858e-05	 -1.18609880977997e-03	-1.73382303253469e-06		1.00000070358125e+00
2.49000000000000e+00    	-1.74530324835619e-05 	 -3.05085900210464e-03   9.99999939815284e+00 	4.08832147922683e-05	 2.38828866424615e-03	-1.73325368868946e-06		1.00000285279452e+00
2.52000000000000e+00    	-1.51332075848968e-05 	 -2.92328901450698e-03   9.99999934614506e+00 	1.16477193479409e-04	 6.13456658620604e-03	-1.73649098887781e-06		1.00001882306142e+00
2.55000000000000e+00    	-1.03129570546692e-05 	 -2.68238628280354e-03   9.99999929369122e+00 	2.07157446145817e-04	 9.92131027993214e-03	-1.76720099017277e-06		1.00004923644539e+00
2.58000000000000e+00    	-2.59033206869403e-06 	 -2.32905987306249e-03   9.99999923959686e+00 	3.09175118955997e-04	 1.36062393392126e-02	-1.84998721972161e-06		1.00009260838266e+00
2.61000000000000e+00    	8.28952008508920e-06 	 -1.86859194823350e-03   9.99999918196070e+00 	4.16509781020580e-04	 1.70411584933196e-02	-2.00674938873198e-06		1.00014527673095e+00
2.64000000000000e+00    	2.23706959924261e-05 	 -1.31073055391341e-03   9.99999911831210e+00 	5.21222668099359e-04	 2.00774534378850e-02	-2.25295684080149e-06		1.00020166757244e+00
