0.00000000000000e+00    	0.00000000000000e+00 	 -1.00000000000000e+00  	1.22464679910000e-16    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
7.20000000000000e-01    	-7.16426787817944e-01 	 -1.00000108416094e+00   -2.13212276086240e-11 	-1.00000099592090e+01	 -5.69167597402051e-04	-3.85725335489011e-09		1.00498855470215e+01
7.50000000000000e-01    	-7.46277903024829e-01 	 -1.00000287388302e+00   -3.41047468079529e-11 	-9.99995810786817e+00	 -6.16722807139557e-04	-4.52874709180819e-09		1.00498339558157e+01
7.80000000000000e-01    	-7.76129016577950e-01 	 -1.00000467522221e+00   -4.70534970842585e-11 	-9.99989931794803e+00	 -5.73238743302566e-04	-3.91262820576893e-09		1.00497754550885e+01
8.10000000000000e-01    	-8.05980128409316e-01 	 -1.00000618918960e+00   -5.62637085518081e-11 	-9.99984216823846e+00	 -4.22659084410541e-04	-2.12702851256257e-09		1.00497185815485e+01
8.40000000000000e-01    	-8.35831238726396e-01 	 -1.00000709095222e+00   -5.97054568421701e-11 	-9.99979703557502e+00	 -1.64520673789679e-04	-3.22231760155998e-10		1.00496736653367e+01
8.70000000000000e-01    	-8.65682348032193e-01 	 -1.00000708239916e+00   -6.00636992316940e-11 	-9.99977457458000e+00	 1.82411563950477e-04	-3.96138781245589e-10		1.00496513161249e+01
9.00000000000000e-01    	-8.95533457102386e-01 	 -1.00000595152864e+00   -6.56336036124735e-11 	-9.99978382588201e+00	 5.79366140297954e-04	-3.99674462840133e-09		1.00496605365573e+01
9.30000000000000e-01    	-9.25384566919474e-01 	 -1.00000362896028e+00   -8.76055569363815e-11 	-9.99983023881430e+00	 9.70346157784209e-04	-1.12113348619348e-08		1.00497067492876e+01
9.60000000000000e-01    	-9.55235678565525e-01 	 -1.00000023055847e+00   -1.33975091011561e-10 	-9.99991396147833e+00	 1.28862137298626e-03	-1.97721931667577e-08		1.00497900922116e+01
9.90000000000000e-01    	-9.85086793075041e-01 	 -9.99996075687538e-01   -2.02929642397062e-10 	-1.00000287624650e+01	 1.46641067306927e-03	-2.56044188101359e-08		1.00499043478278e+01
1.02000000000000e+00    	-1.01493791125257e+00 	 -9.99991673209075e-01   -2.80244201372615e-10 	-1.00001618941306e+01	 1.44655265231512e-03	-2.49156623493901e-08		1.00500368159195e+01
1.05000000000000e+00    	-1.04478903347109e+00 	 -9.99987671816241e-01   -3.44302393884284e-10 	-1.00002950872286e+01	 1.19439706120349e-03	-1.69865826478413e-08		1.00501693149038e+01
1.08000000000000e+00    	-1.07464015948654e+00 	 -9.99984777139048e-01   -3.78432917373286e-10 	-1.00004066927537e+01	 7.07824093544630e-04	-5.96612934705260e-09		1.00502803205427e+01
1.11000000000000e+00    	-1.10449128832353e+00 	 -9.99983644380488e-01   -3.84947685739566e-10 	-1.00004747824025e+01	 2.33056759561822e-05	-7.21237552765877e-12		1.00503480474067e+01
1.14000000000000e+00    	-1.13434241829264e+00 	 -9.99984760979568e-01   -3.91860987728922e-10 	-1.00004808167375e+01	 -7.83692082465059e-04	-7.31342478378982e-09		1.00503540823251e+01
1.17000000000000e+00    	-1.16419354717884e+00 	 -9.99988337831061e-01   -4.44903810878089e-10 	-1.00004133276080e+01	 -1.60492157333093e-03	-3.06693222857839e-08		1.00502870256910e+01
1.20000000000000e+00    	-1.19404467259224e+00 	 -9.99994228969140e-01   -5.84831135658411e-10 	-1.00002709749300e+01	 -2.31211886172727e-03	-6.36520973550362e-08		1.00501455172511e+01
1.23000000000000e+00    	-1.22389579241147e+00 	 -1.00000189773482e+00   -8.20055378012622e-10 	-1.00000643548837e+01	 -2.77510986491817e-03	-9.16965351538348e-08		1.00499400397739e+01
