0.00000000000000e+00    	0.00000000000000e+00 	 -5.87785252290000e-01  	-8.09016994370000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
1.32000000000000e+00    	-1.31344913447422e+00 	 -5.87757850028352e-01   -8.09016990751533e-01 	-1.00006080336928e+01	 8.20827477700522e-04	2.77932737979937e-07		1.00504806709589e+01
1.35000000000000e+00    	-1.34330026526439e+00 	 -5.87757286444184e-01   -8.09016989906383e-01 	-1.00003975308916e+01	 -4.76394944483375e-04	2.83050873670896e-07		1.00502711905110e+01
1.38000000000000e+00    	-1.37315138823638e+00 	 -5.87760803124975e-01   -8.09016989084917e-01 	-1.00000970687281e+01	 -1.88176779604610e-03	2.65596745942748e-07		1.00499723842922e+01
1.41000000000000e+00    	-1.40300250064597e+00 	 -5.87768427304391e-01   -8.09016988313285e-01 	-9.99974086496088e+00	 -3.19253905990750e-03	2.55908702848398e-07		1.00496182792519e+01
1.44000000000000e+00    	-1.43285360119594e+00 	 -5.87779555192363e-01   -8.09016987511204e-01 	-9.99937649847000e+00	 -4.19377931207310e-03	2.91811045531150e-07		1.00492560891809e+01
1.47000000000000e+00    	-1.46270469061062e+00 	 -5.87792963337847e-01   -8.09016986500800e-01 	-9.99905904315293e+00	 -4.69101301466038e-03	3.97106621305256e-07		1.00489404294215e+01
1.50000000000000e+00    	-1.49255577176905e+00 	 -5.87806919910969e-01   -8.09016985078506e-01 	-9.99884324482508e+00	 -4.54364523691314e-03	5.63092831228850e-07		1.00487256345915e+01
1.53000000000000e+00    	-1.52240684927349e+00 	 -5.87819390483090e-01   -8.09016983121399e-01 	-9.99877479588733e+00	 -3.69385040403553e-03	7.45776564616103e-07		1.00486571771259e+01
1.56000000000000e+00    	-1.55225792854705e+00 	 -5.87828316864305e-01   -8.09016980669632e-01 	-9.99888203635111e+00	 -2.18571083415182e-03	8.84738097484959e-07		1.00487634440362e+01
1.59000000000000e+00    	-1.58210901475919e+00 	 -5.87831933174290e-01   -8.09016977926493e-01 	-9.99916948045632e+00	 -1.70389608557458e-04	9.37272188129207e-07		1.00490492250721e+01
1.62000000000000e+00    	-1.61196011195418e+00 	 -5.87829073172460e-01   -8.09016975154884e-01 	-9.99961440518922e+00	 2.10507626626239e-03	9.10067995881053e-07		1.00494921604932e+01
1.65000000000000e+00    	-1.64181122264216e+00 	 -5.87819419125279e-01   -8.09016972509126e-01 	-1.00001673544704e+01	 4.32538594610396e-03	8.67844599328439e-07		1.00500430758470e+01
1.68000000000000e+00    	-1.67166234784917e+00 	 -5.87803646441896e-01   -8.09016969891215e-01 	-1.00007568656349e+01	 6.14836929590081e-03	9.07936428210923e-07		1.00506306114586e+01
1.71000000000000e+00    	-1.70151348735289e+00 	 -5.87783430076113e-01   -8.09016966926655e-01 	-1.00012980951053e+01	 7.25506441948217e-03	1.10865888562018e-06		1.00511698932571e+01
1.74000000000000e+00    	-1.73136463972798e+00 	 -5.87761297079844e-01   -8.09016963102598e-01 	-1.00017043985899e+01	 7.40147447797694e-03	1.47755525664040e-06		1.00515742875730e+01
1.77000000000000e+00    	-1.76121580198518e+00 	 -5.87740332321891e-01   -8.09016958019908e-01 	-1.00019003922228e+01	 6.46403802096262e-03	1.93164290734546e-06		1.00517686622673e+01
1.80000000000000e+00    	-1.79106696895506e+00 	 -5.87723768025691e-01   -8.09016951629292e-01 	-1.00018346563499e+01	 4.47106066854486e-03	2.32902303452832e-06		1.00517021684564e+01
1.83000000000000e+00    	-1.82091813293547e+00 	 -5.87714508824525e-01   -8.09016944302833e-01 	-1.00014901019325e+01	 1.61381235579170e-03	2.54359219119885e-06		1.00513584586090e+01
1.86000000000000e+00    	-1.85076928423578e+00 	 -5.87714659026331e-01   -8.09016936661399e-01 	-1.00008901473586e+01	 -1.76642745472365e-03	2.54615728636891e-06		1.00507615064635e+01
1.89000000000000e+00    	-1.88062041295958e+00 	 -5.87725124912725e-01   -8.09016929211290e-01 	-1.00000992785691e+01	 -5.21569636887609e-03	2.44353672530659e-06		1.00499757604052e+01
1.92000000000000e+00    	-1.91047151174216e+00 	 -5.87745360425469e-01   -8.09016921971487e-01 	-9.99921728041161e+00	 -8.22560210723820e-03	2.44298859508076e-06		1.00491001528206e+01
1.95000000000000e+00    	-1.94032257849974e+00 	 -5.87773309166265e-01   -8.09016914316065e-01 	-9.99836736904788e+00	 -1.03054739339049e-02	2.74844370732760e-06		1.00482563785585e+01
1.98000000000000e+00    	-1.97017361794805e+00 	 -5.87805570493779e-01   -8.09016905170679e-01 	-9.99767949382125e+00	 -1.10585603239299e-02	3.43810366783197e-06		1.00475727194652e+01
2.01000000000000e+00    	-2.00002464097406e+00 	 -5.87837785516941e-01   -8.09016893514143e-01 	-9.99727102537422e+00	 -1.02508735596682e-02	4.39419838789519e-06		1.00471654229049e+01
2.04000000000000e+00    	-2.02987566184025e+00 	 -5.87865204264481e-01   -8.09016878940993e-01 	-9.99722769981973e+00	 -7.86138297716624e-03	5.33767897203443e-06		1.00471201587029e+01
2.07000000000000e+00    	-2.05972669426064e+00 	 -5.87883363520147e-01   -8.09016861956785e-01 	-9.99758788060513e+00	 -4.10415219441821e-03	5.96681088353905e-06		1.00474763137080e+01
2.10000000000000e+00    	-2.08957774802868e+00 	 -5.87888781197372e-01   -8.09016843777714e-01 	-9.99833285917862e+00	 5.83433962432769e-04	6.13527152214769e-06		1.00482167723116e+01
2.13000000000000e+00    	-2.11942882766766e+00 	 -5.87879562346961e-01   -8.09016825663468e-01 	-9.99938509359492e+00	 5.58742558120129e-03	5.96952587846183e-06		1.00492653198813e+01
2.16000000000000e+00    	-2.14927993351773e+00 	 -5.87855816848741e-01   -8.09016808098958e-01 	-1.00006151380848e+01	 1.01947774925233e-02	5.84389816157175e-06		1.00504928771485e+01
2.19000000000000e+00    	-2.17913106428651e+00 	 -5.87819809950290e-01   -8.09016790287557e-01 	-1.00018567562835e+01	 1.36921782631388e-02	6.20319663711477e-06		1.00517324899242e+01
2.22000000000000e+00    	-2.20898221916381e+00 	 -5.87775801762555e-01   -8.09016770312123e-01 	-1.00029285325215e+01	 1.54728844020025e-02	7.31272172839526e-06		1.00528015317591e+01
2.25000000000000e+00    	-2.23883339776354e+00 	 -5.87729575868232e-01   -8.09016745981660e-01 	-1.00036593359963e+01	 1.51359887285908e-02	9.07265599752465e-06		1.00535281970512e+01
2.28000000000000e+00    	-2.26868459746486e+00 	 -5.87687704009946e-01   -8.09016715975617e-01 	-1.00039143245424e+01	 1.25625614874640e-02	1.10182747251227e-05		1.00537783758574e+01
2.31000000000000e+00    	-2.29853580954157e+00 	 -5.87656636533856e-01   -8.09016680656628e-01 	-1.00036178401814e+01	 7.95546029040822e-03	1.25365970625701e-05		1.00534786607374e+01
2.34000000000000e+00    	-2.32838701674602e+00 	 -5.87641740495617e-01   -8.09016642016218e-01 	-1.00027696014474e+01	 1.83409267977349e-03	1.32062348074171e-05		1.00526316486635e+01
2.37000000000000e+00    	-2.35823819485513e+00 	 -5.87646423997132e-01   -8.09016602644759e-01 	-1.00014511185010e+01	 -5.01849259659876e-03	1.30789110114679e-05		1.00513207918762e+01
2.40000000000000e+00    	-2.38808931891199e+00 	 -5.87671483127912e-01   -8.09016564176662e-01 	-9.99982032076336e+00	 -1.16518853133760e-02	1.27266549533261e-05		1.00497035883724e+01
2.43000000000000e+00    	-2.41794037226520e+00 	 -5.87714785714385e-01   -8.09016526044031e-01 	-9.99809398777490e+00	 -1.70768474901176e-02	1.29896668068587e-05		1.00479935811718e+01
2.46000000000000e+00    	-2.44779135442604e+00 	 -5.87771365284560e-01   -8.09016485321697e-01 	-9.99651955179872e+00	 -2.04092812349041e-02	1.45270297061457e-05		1.00464331824019e+01
