0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e-01  	3.09016994370000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
7.50000000000000e-01    	-7.46277904985309e-01 	 9.51054466594170e-01   3.09016994372021e-01 	-1.00000478538312e+01	 5.10013466453744e-04	1.77286769523079e-09		1.00499232504048e+01
7.80000000000000e-01    	-7.76129021293337e-01 	 9.51056272086802e-01   3.09016994379937e-01 	-9.99999387453688e+00	 6.91529493007886e-04	3.44006471834244e-09		1.00498695498493e+01
8.10000000000000e-01    	-8.05980135768326e-01 	 9.51058526718937e-01   3.09016994391368e-01 	-9.99992696758604e+00	 8.04328668135122e-04	3.91594930800268e-09		1.00498029833425e+01
8.40000000000000e-01    	-8.35831248160391e-01 	 9.51060968776207e-01   3.09016994401074e-01 	-9.99985557974464e+00	 8.11580198868953e-04	2.17447691283027e-09		1.00497319503762e+01
8.70000000000000e-01    	-8.65682358525323e-01 	 9.51063240108272e-01   3.09016994402111e-01 	-9.99979094731748e+00	 6.86770457266381e-04	-1.76133924077726e-09		1.00496676294147e+01
9.00000000000000e-01    	-8.95533467272058e-01 	 9.51064927830580e-01   3.09016994389918e-01 	-9.99974564624375e+00	 4.20831608562816e-04	-6.29576154264063e-09		1.00496225385171e+01
9.30000000000000e-01    	-9.25384575153019e-01 	 9.51065624999518e-01   3.09016994366701e-01 	-9.99973159885314e+00	 2.74820103539661e-05	-8.64847172075181e-09		1.00496085520709e+01
9.60000000000000e-01    	-9.55235683197592e-01 	 9.51065002869990e-01   3.09016994343033e-01 	-9.99975780850903e+00	 -4.54560020443620e-04	-6.30406400127416e-09		1.00496346418893e+01
9.90000000000000e-01    	-9.85086792599382e-01 	 9.51062883807188e-01   3.09016994334174e-01 	-9.99982819077891e+00	 -9.63473050491696e-04	1.05456836138947e-09		1.00497047107553e+01
1.02000000000000e+00    	-1.01493790457084e+00 	 9.51059301822007e-01   3.09016994351329e-01 	-9.99993991340258e+00	 -1.42072687749829e-03	1.03216251479819e-08		1.00498159331466e+01
1.05000000000000e+00    	-1.04478902017480e+00 	 9.51054537657551e-01   3.09016994391868e-01 	-1.00000826318222e+01	 -1.74159795084700e-03	1.56393772640995e-08		1.00499579937647e+01
1.08000000000000e+00    	-1.07464014013812e+00 	 9.51049117701591e-01   3.09016994434925e-01 	-1.00002389076942e+01	 -1.84861811583010e-03	1.12743539021498e-08		1.00501135132072e+01
1.11000000000000e+00    	-1.10449126465681e+00 	 9.51043770666750e-01   3.09016994447643e-01 	-1.00003859322451e+01	 -1.68605268239066e-03	-4.44307019572103e-09		1.00502597795589e+01
1.14000000000000e+00    	-1.13434239321980e+00 	 9.51039342458233e-01   3.09016994401928e-01 	-1.00004984644165e+01	 -1.23302681770941e-03	-2.64522536668670e-08		1.00503716875125e+01
1.17000000000000e+00    	-1.16419352450358e+00 	 9.51036677031084e-01   3.09016994294241e-01 	-1.00005526658797e+01	 -5.12800316176431e-04	-4.38917022130963e-08		1.00504255574576e+01
1.20000000000000e+00    	-1.19404465640583e+00 	 9.51036478137301e-01   3.09016994156087e-01 	-1.00005303088003e+01	 4.04001208095223e-04	-4.52976250522048e-08		1.00504033063580e+01
1.23000000000000e+00    	-1.22389578627302e+00 	 9.51039172389382e-01   3.09016994044806e-01 	-1.00004226876321e+01	 1.40365471645980e-03	-2.60456929391164e-08		1.00502963091420e+01
1.26000000000000e+00    	-1.25374691132620e+00 	 9.51044796847534e-01   3.09016994013952e-01 	-1.00002335187640e+01	 2.34147430835373e-03	6.21650516387170e-09		1.00501082537609e+01
1.29000000000000e+00    	-1.28359802921224e+00 	 9.51052933529069e-01   3.09016994076040e-01 	-9.99998018513545e+00	 3.06088078394898e-03	3.24571109072859e-08		1.00498563707196e+01
