0.00000000000000e+00    	0.00000000000000e+00 	 3.09016994370000e-01  	-9.51056516300000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
2.46000000000000e+00    	-2.44779127944307e+00 	 3.09054393821423e-01   -9.51055825133041e-01 	-1.00044524661811e+01	 2.05221435403003e-02	2.34965742064993e-05		1.00543269445053e+01
2.49000000000000e+00    	-2.47764245580954e+00 	 3.09113589160302e-01   -9.51055750260732e-01 	-1.00034860402542e+01	 1.86615278442811e-02	2.65374695148144e-05		1.00533616870620e+01
2.52000000000000e+00    	-2.50749361232182e+00 	 3.09162924062290e-01   -9.51055667961114e-01 	-1.00019444628939e+01	 1.39552666887719e-02	2.83854076290708e-05		1.00518201231960e+01
2.55000000000000e+00    	-2.53734474041331e+00 	 3.09194528109520e-01   -9.51055582137404e-01 	-1.00000107360390e+01	 6.89026392055088e-03	2.89431933713958e-05		1.00498886659241e+01
2.58000000000000e+00    	-2.56719582381723e+00 	 3.09202564199818e-01   -9.51055495748513e-01 	-9.99793817797488e+00	 -1.66584513031680e-03	2.89319648100475e-05		1.00478241717540e+01
2.61000000000000e+00    	-2.59704684287882e+00 	 3.09184230095477e-01   -9.51055408699116e-01 	-9.99601892952658e+00	 -1.05662369316231e-02	2.95929969970130e-05		1.00459198725499e+01
2.64000000000000e+00    	-2.62689778492767e+00 	 3.09140383148624e-01   -9.51055317195163e-01 	-9.99454412067226e+00	 -1.85350414726963e-02	3.20422869443612e-05		1.00444639343697e+01
2.67000000000000e+00    	-2.65674865582434e+00 	 3.09075666941883e-01   -9.51055215153379e-01 	-9.99376063879198e+00	 -2.43470624784441e-02	3.66069376335423e-05		1.00436967539975e+01
2.70000000000000e+00    	-2.68659948585842e+00 	 3.08998084586271e-01   -9.51055097130949e-01 	-9.99383072703963e+00	 -2.70121631036143e-02	4.25301425261645e-05		1.00437733078503e+01
2.73000000000000e+00    	-2.71645032498640e+00 	 3.08918043934726e-01   -9.51054961272498e-01 	-9.99480113177166e+00	 -2.59369122986829e-02	4.82689611263941e-05		1.00447360537454e+01
2.76000000000000e+00    	-2.74630122750732e+00 	 3.08846983018823e-01   -9.51054810552954e-01 	-9.99658779256707e+00	 -2.10376963339684e-02	5.22912293292295e-05		1.00465023805254e+01
2.79000000000000e+00    	-2.77615223218098e+00 	 3.08795755739632e-01   -9.51054651361603e-01 	-9.99897996635718e+00	 -1.27852575281966e-02	5.39721152421154e-05		1.00488687837654e+01
2.82000000000000e+00    	-2.80600334715303e+00 	 3.08773005312577e-01   -9.51054489903051e-01 	-1.00016644679615e+01	 -2.16985090035030e-03	5.40799418554786e-05		1.00515320643601e+01
2.85000000000000e+00    	-2.83585454757494e+00 	 3.08783767038193e-01   -9.51054328226058e-01 	-1.00042670858730e+01	 9.41240369416328e-03	5.45156588235806e-05		1.00541259451927e+01
2.88000000000000e+00    	-2.86570578776408e+00 	 3.08828519303688e-01   -9.51054162134544e-01 	-1.00064050944968e+01	 2.03395700067224e-02	5.73634369066527e-05		1.00562695178963e+01
2.91000000000000e+00    	-2.89555702209645e+00 	 3.08902845334860e-01   -9.51053982420324e-01 	-1.00077429005658e+01	 2.89874867155179e-02	6.37173598834733e-05		1.00576218979573e+01
2.94000000000000e+00    	-2.92540822375024e+00 	 3.08997786516909e-01   -9.51053779111471e-01 	-1.00080425743535e+01	 3.39665532691909e-02	7.29354413644153e-05		1.00579356680252e+01
2.97000000000000e+00    	-2.95525939104806e+00 	 3.09100872801413e-01   -9.51053546655318e-01 	-1.00072021440232e+01	 3.43379610683206e-02	8.28037221051808e-05		1.00571006683721e+01
3.00000000000000e+00    	-2.98511053765530e+00 	 3.09197719517553e-01   -9.51053287168005e-01 	-1.00052765179556e+01	 2.97768516808382e-02	9.06263005384474e-05		1.00551700567352e+01
3.03000000000000e+00    	-3.01496167214534e+00 	 3.09273994764793e-01   -9.51053009647974e-01 	-1.00024781285451e+01	 2.06557022074361e-02	9.47255133875539e-05		1.00523626764572e+01
