0.00000000000000e+00    	0.00000000000000e+00 	 -1.83697019870000e-16  	-1.00000000000000e+00    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
2.16000000000000e+00    	-2.14928000009147e+00 	 -6.38888901514752e-05   -9.99999746869426e-01 	-9.99695625563386e+00	 -1.27005490135192e-02	1.02485155019613e-05		1.00468550144365e+01
2.19000000000000e+00    	-2.17913101570412e+00 	 -9.79286110483739e-05   -9.99999714326838e-01 	-9.99765440480450e+00	 -9.78987299498297e-03	1.14583372384223e-05		1.00475464387905e+01
2.22000000000000e+00    	-2.20898206860146e+00 	 -1.20678842344858e-04   -9.99999679065944e-01 	-9.99875240720219e+00	 -5.20879694295698e-03	1.20574958006251e-05		1.00486355706754e+01
2.25000000000000e+00    	-2.23883316591210e+00 	 -1.27899652285100e-04   -9.99999642836206e-01 	-1.00001198337692e+01	 5.02228310490645e-04	1.21632293041617e-05		1.00499948727413e+01
2.28000000000000e+00    	-2.26868430438713e+00 	 -1.17301256786948e-04   -9.99999606474242e-01 	-1.00015762456925e+01	 6.59211043575042e-03	1.22494667743524e-05		1.00514462071122e+01
2.31000000000000e+00    	-2.29853547334761e+00 	 -8.90358405525940e-05   -9.99999569119175e-01 	-1.00029145638727e+01	 1.21948022776888e-02	1.29282956035948e-05		1.00527831213802e+01
2.34000000000000e+00    	-2.32838666004016e+00 	 -4.58628355936280e-05   -9.99999528293152e-01 	-1.00039298578074e+01	 1.64494724519292e-02	1.46142883795261e-05		1.00537994402757e+01
2.37000000000000e+00    	-2.35823785437895e+00 	 7.06051306986067e-06   -9.99999480937470e-01 	-1.00044495696578e+01	 1.86288766990382e-02	1.72520628537878e-05		1.00543203761951e+01
2.40000000000000e+00    	-2.38808905032349e+00 	 6.27589207602245e-05   -9.99999424943524e-01 	-1.00043609274215e+01	 1.82573023801075e-02	2.02783072594272e-05		1.00542314920445e+01
2.43000000000000e+00    	-2.41794024308780e+00 	 1.13329924888575e-04   -9.99999360353857e-01 	-1.00036315876697e+01	 1.51997387638922e-02	2.28772771180014e-05		1.00535006825685e+01
2.46000000000000e+00    	-2.44779142404472e+00 	 1.51036980391406e-04   -9.99999289475654e-01 	-1.00023202640564e+01	 9.70692552449046e-03	2.44243750908735e-05		1.00521890595906e+01
2.49000000000000e+00    	-2.47764257706340e+00 	 1.69458654917858e-04   -9.99999215672722e-01 	-1.00005751461604e+01	 2.40638132072310e-03	2.48852532163928e-05		1.00504482012143e+01
2.52000000000000e+00    	-2.50749367983320e+00 	 1.64528690291564e-04   -9.99999141343537e-01 	-9.99861926115753e+00	 -5.76319416222962e-03	2.49287368075721e-05		1.00485033882971e+01
2.55000000000000e+00    	-2.53734471125383e+00 	 1.35304893157141e-04   -9.99999066148701e-01 	-9.99672357597326e+00	 -1.36685159949234e-02	2.56441020476639e-05		1.00466247607546e+01
2.58000000000000e+00    	-2.56719566231215e+00 	 8.43320592284919e-05   -9.99998986564963e-01 	-9.99517051593903e+00	 -2.01356173481456e-02	2.79701544776739e-05		1.00450902975815e+01
2.61000000000000e+00    	-2.59704654502561e+00 	 1.75140619273409e-05   -9.99998897223321e-01 	-9.99421246722123e+00	 -2.41207066681169e-02	3.21295193830574e-05		1.00441457899357e+01
2.64000000000000e+00    	-2.62689739387089e+00 	 -5.65222318634058e-05   -9.99998793505921e-01 	-9.99403133328401e+00	 -2.48735230593975e-02	3.74015069727307e-05		1.00439673926298e+01
2.67000000000000e+00    	-2.65674825720736e+00 	 -1.27512255335226e-04   -9.99998674058906e-01 	-9.99470584036375e+00	 -2.20680861836906e-02	4.24153028125647e-05		1.00446319911497e+01
2.70000000000000e+00    	-2.68659918127054e+00 	 -1.84955890820297e-04   -9.99998541736550e-01 	-9.99619264677723e+00	 -1.58789543977210e-02	4.58642257012841e-05		1.00460997195319e+01
2.73000000000000e+00    	-2.71645019369417e+00 	 -2.19646236811989e-04   -9.99998402207383e-01 	-9.99832533054522e+00	 -6.98797345396187e-03	4.72801316935031e-05		1.00482116940991e+01
2.76000000000000e+00    	-2.74630129457549e+00 	 -2.25103324740267e-04   -9.99998260720235e-01 	-1.00008323527164e+01	 3.48384890941134e-03	4.74228835925520e-05		1.00507044472809e+01
2.79000000000000e+00    	-2.77615245979421e+00 	 -1.98692944007653e-04   -9.99998118670763e-01 	-1.00033718084415e+01	 1.41136730504196e-02	4.80067246383354e-05		1.00532406086791e+01
2.82000000000000e+00    	-2.80600365502956e+00 	 -1.42246838943001e-04   -9.99997971937069e-01 	-1.00055779751882e+01	 2.33669764109017e-02	5.08371713662183e-05		1.00554530795853e+01
