0.00000000000000e+00    	0.00000000000000e+00 	 5.00000000000000e-01  	5.00000000000000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.30000000000000e-01    	5.55966580505747e-15 	 5.00000030611882e-01   5.00000000000001e-01 	2.04299432096300e-13	 6.39217384164942e-07	4.86613639693633e-14		1.00000000000020e+00
3.60000000000000e-01    	1.55472957988306e-14 	 5.00000054894390e-01   5.00000000000003e-01 	4.97226489968142e-13	 9.97222633098608e-07	1.03479753233350e-13		1.00000000000050e+00
3.90000000000000e-01    	3.82012195957964e-14 	 5.00000091539388e-01   5.00000000000008e-01 	1.07215469024802e-12	 1.46434605900519e-06	1.94111849939040e-13		1.00000000000107e+00
4.20000000000000e-01    	8.42380571026568e-14 	 5.00000143857760e-01   5.00000000000016e-01 	2.08350985723928e-12	 2.04132792919434e-06	3.23570295634551e-13		1.00000000000208e+00
4.50000000000000e-01    	1.69186321530900e-13 	 5.00000215009806e-01   5.00000000000028e-01 	3.69074254789437e-12	 2.71688886335656e-06	4.77886770549600e-13		1.00000000000369e+00
4.80000000000000e-01    	3.12775877108431e-13 	 5.00000307602014e-01   5.00000000000044e-01 	6.00303349357918e-12	 3.46497719865984e-06	6.13570621923981e-13		1.00000000000600e+00
5.10000000000000e-01    	5.36291153433495e-13 	 5.00000423210976e-01   5.00000000000064e-01 	9.00033202082780e-12	 4.24271894447350e-06	6.46312129882336e-13		1.00000000000900e+00
5.40000000000000e-01    	8.57384575449963e-13 	 5.00000561860317e-01   5.00000000000081e-01 	1.24469805174263e-11	 4.98938483533781e-06	4.46820020721638e-13		1.00000000001245e+00
5.70000000000000e-01    	1.28256480915943e-12 	 5.00000721485426e-01   5.00000000000086e-01 	1.58296109147476e-11	 5.62665280872178e-06	-1.48917112971074e-13		1.00000000001583e+00
6.00000000000000e-01    	1.79873486933641e-12 	 5.00000897428305e-01   5.00000000000066e-01 	1.83641195534739e-11	 6.06038275256162e-06	-1.30819609682087e-12		1.00000000001836e+00
6.30000000000000e-01    	2.36659814340779e-12 	 5.00001082010120e-01   5.00000000000001e-01 	1.91211486714365e-11	 6.18403568421873e-06	-3.14562840127459e-12		1.00000000001912e+00
6.60000000000000e-01    	2.92012464547191e-12 	 5.00001264231481e-01   4.99999999999871e-01 	1.73093478829346e-11	 5.88376544118604e-06	-5.64585535581515e-12		1.00000000001731e+00
6.90000000000000e-01    	3.37705998383928e-12 	 5.00001429649595e-01   4.99999999999658e-01 	1.27264809403853e-11	 5.04509285166855e-06	-8.57738639516603e-12		1.00000000001273e+00
7.20000000000000e-01    	3.66508057380462e-12 	 5.00001560476849e-01   4.99999999999357e-01 	6.34017139623936e-12	 3.56094689566619e-06	-1.14201459816262e-11		1.00000000000634e+00
7.50000000000000e-01    	3.76615263707859e-12 	 5.00001635937018e-01   4.99999999998982e-01 	8.98781458702333e-13	 1.34073223229307e-06	-1.33376408488117e-11		1.00000000000090e+00
7.80000000000000e-01    	3.77772266365118e-12 	 5.00001632903321e-01   4.99999999998577e-01 	1.41125729665107e-12	 -1.68003410519819e-06	-1.32277678265916e-11		1.00000000000141e+00
8.10000000000000e-01    	3.98380349948560e-12 	 5.00001526827257e-01   4.99999999998221e-01 	1.52908576645852e-11	 -5.53007371836801e-06	-9.88090593234654e-12		1.00000000001529e+00
8.40000000000000e-01    	4.92266053008632e-12 	 5.00001292949271e-01   4.99999999998027e-01 	5.19518583418833e-11	 -1.01933172561910e-05	-2.25793417100309e-12		1.00000000005195e+00
8.70000000000000e-01    	7.43206788926563e-12 	 5.00000907762607e-01   4.99999999998133e-01 	1.21698235044516e-10	 -1.56011688693769e-05	1.01257986274595e-11		1.00000000012170e+00
9.00000000000000e-01    	1.26498321437074e-11 	 5.00000350681292e-01   4.99999999998677e-01 	2.33858043754391e-10	 -2.16267447275492e-05	2.67588134432685e-11		1.00000000023386e+00
9.30000000000000e-01    	2.19483808535774e-11 	 4.99999605843224e-01   4.99999999999762e-01 	3.94291768325267e-10	 -2.80817295879731e-05	4.57182712757670e-11		1.00000000039429e+00
9.60000000000000e-01    	3.67891889140322e-11 	 4.99998663961100e-01   5.00000000001408e-01 	6.02614778619725e-10	 -3.47164162499629e-05	6.33939976164022e-11		1.00000000060261e+00
9.90000000000000e-01    	5.84962257129381e-11 	 4.99997524118690e-01   5.00000000003501e-01 	8.49683164283829e-10	 -4.12233711451356e-05	7.44761612255094e-11		1.00000000084968e+00
