0.00000000000000e+00    	0.00000000000000e+00 	 1.00000000000000e+00  	-2.44929359830000e-16    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
1.38000000000000e+00    	-9.75827156437412e-01 	 9.99918648955365e-01   3.33862581024037e-08 	-1.00043194921311e+00	 1.87944336827494e-03	3.49258948080815e-07		1.41452027815576e+00
1.41000000000000e+00    	-9.97044101656117e-01 	 9.99964699899183e-01   4.33269429540074e-08 	-1.00026879577216e+00	 2.43638212944059e-03	5.86901025683608e-07		1.41440574085151e+00
1.44000000000000e+00    	-1.01825901806622e+00 	 1.00002059611616e+00   5.79133407168539e-08 	-1.00005385718664e+00	 2.79477235988037e-03	7.72271243674642e-07		1.41425440710892e+00
1.47000000000000e+00    	-1.03947144982975e+00 	 1.00008138553638e+00   7.51383576147068e-08 	-9.99805067547929e-01	 2.88749958565296e-03	8.24372733754049e-07		1.41407867912258e+00
1.50000000000000e+00    	-1.06068116852486e+00 	 1.00014091211631e+00   9.16596827967675e-08 	-9.99546520333659e-01	 2.66988640528201e-03	7.04767891486314e-07		1.41389546098891e+00
1.53000000000000e+00    	-1.08188822502180e+00 	 1.00019238014073e+00   1.04052966136471e-07 	-9.99306330196634e-01	 2.12776040638749e-03	4.47509363583353e-07		1.41372475006120e+00
1.56000000000000e+00    	-1.10309297394253e+00 	 1.00022906417105e+00   1.10444020677944e-07 	-9.99113802274415e-01	 1.28281692366363e-03	1.62445198389408e-07		1.41358764691636e+00
1.59000000000000e+00    	-1.12429606628048e+00 	 1.00024509677827e+00   1.11842731272639e-07 	-9.98996184385599e-01	 1.94313623942856e-04	3.38192406985235e-09		1.41350394911892e+00
1.62000000000000e+00    	-1.14549840909059e+00 	 1.00023624853396e+00   1.12469205788848e-07 	-9.98975335236611e-01	 -1.04352121671032e-03	1.07379584250509e-07		1.41348958586459e+00
1.65000000000000e+00    	-1.16670109416140e+00 	 1.00020060570290e+00   1.18664765140497e-07 	-9.99064664519589e-01	 -2.30852543683468e-03	5.26892117087957e-07		1.41355422010675e+00
1.68000000000000e+00    	-1.18790530004644e+00 	 1.00013905297331e+00   1.36553119458356e-07 	-9.99266693508601e-01	 -3.46171592470175e-03	1.18517714583406e-06		1.41369936982166e+00
1.71000000000000e+00    	-1.20911217395589e+00 	 1.00005548241652e+00   1.69248912111836e-07 	-9.99571553885833e-01	 -4.36157418267706e-03	1.88154195795095e-06		1.41391736486636e+00
1.74000000000000e+00    	-1.23032270221941e+00 	 9.99956675112063e-01   2.14811142678347e-07 	-9.99956690398058e-01	 -4.88012658587520e-03	2.35551600448712e-06		1.41419135844937e+00
1.77000000000000e+00    	-1.25153758063674e+00 	 9.99851836214137e-01   2.66062971407137e-07 	-1.00038795498889e+00	 -4.91909291300004e-03	2.39328165410758e-06		1.41449646799406e+00
1.80000000000000e+00    	-1.27275709886709e+00 	 9.99751803905684e-01   3.12777720525809e-07 	-1.00082216695464e+00	 -4.42420754247429e-03	1.93615928757403e-06		1.41480195910379e+00
1.83000000000000e+00    	-1.29398105524982e+00 	 9.99667993010631e-01   3.45740357484592e-07 	-1.00121105846658e+00	 -3.39586145124226e-03	1.14128920478268e-06		1.41507424380210e+00
1.86000000000000e+00    	-1.31520871878338e+00 	 9.99611170131296e-01   3.61222486955678e-07 	-1.00150633209309e+00	 -1.89447919470402e-03	3.56325669039955e-07		1.41528036878708e+00
1.89000000000000e+00    	-1.33643885209371e+00 	 9.99590184639114e-01   3.63913613183789e-07 	-1.00166534961839e+00	 -3.95176087084316e-05	1.82564146300910e-09		1.41539163279559e+00
1.92000000000000e+00    	-1.35766980242514e+00 	 9.99610795221325e-01   3.66656671906068e-07 	-1.00165679049783e+00	 1.99838713171762e-03	3.96268869672319e-07		1.41538698577516e+00
1.95000000000000e+00    	-1.37889965749798e+00 	 9.99674732745526e-01   3.86459136137462e-07 	-1.00146551399568e+00	 4.01184963222540e-03	1.59203028350126e-06		1.41525590288917e+00
1.98000000000000e+00    	-1.40012645135372e+00 	 9.99779126037748e-01   4.37838438036248e-07 	-1.00109587521581e+00	 5.77668761563806e-03	3.29921366740553e-06		1.41500046696275e+00
2.01000000000000e+00    	-1.42134839487772e+00 	 9.99916388200134e-01   5.25979003996431e-07 	-1.00057290176238e+00	 7.07561353833264e-03	4.94928941586561e-06		1.41463641833251e+00
2.04000000000000e+00    	-1.44256409950182e+00 	 1.00007461905799e+00   6.42750163022370e-07 	-9.99941018577802e-01	 7.72329414200965e-03	5.89690653596315e-06		1.41419294650397e+00
2.07000000000000e+00    	-1.46377276266852e+00 	 1.00023852724096e+00   7.67934734472728e-07 	-9.99260360760020e-01	 7.59003701026946e-03	5.69505887032828e-06		1.41371103033134e+00
2.10000000000000e+00    	-1.48497429020527e+00 	 1.00039081751897e+00   8.76116454571560e-07 	-9.98601061186668e-01	 6.62127432952916e-03	4.33303020397664e-06		1.41324022044933e+00
2.13000000000000e+00    	-1.50616934194121e+00 	 1.00051393074745e+00   9.47200719718875e-07 	-9.98036164807352e-01	 4.85024261723610e-03	2.32252664290025e-06		1.41283392906676e+00
2.16000000000000e+00    	-1.52735929924352e+00 	 1.00059197158425e+00   9.76514817281929e-07 	-9.97633954225213e-01	 2.40180903498966e-03	5.64969907051693e-07		1.41254354811099e+00
2.19000000000000e+00    	-1.54854616287503e+00 	 1.00061262018381e+00   9.79866915010059e-07 	-9.97450466557616e-01	 -5.13759451790171e-04	2.00178379526576e-08		1.41241201396221e+00
2.22000000000000e+00    	-1.56973239414839e+00 	 1.00056880544223e+00   9.90379074613919e-07 	-9.97522880960034e-01	 -3.61721705070318e-03	1.28928699772179e-06		1.41246769247996e+00
2.25000000000000e+00    	-1.59092071173117e+00 	 1.00045992473523e+00   1.04706274967476e-06 	-9.97864328239221e-01	 -6.58589616697162e-03	4.28788020146066e-06		1.41271957288735e+00
2.28000000000000e+00    	-1.61211385329784e+00 	 1.00029243099247e+00   1.17883209321735e-06 	-9.98460580361355e-01	 -9.08618505641834e-03	8.16628825983593e-06		1.41315465868429e+00
2.31000000000000e+00    	-1.63331430975369e+00 	 1.00007967031503e+00   1.39033108622941e-06 	-9.99269038952755e-01	 -1.08097316829184e-02	1.15593535493278e-05		1.41373811671124e+00
2.34000000000000e+00    	-1.65452404362555e+00 	 9.99840935109973e-01   1.65617767604479e-06 	-1.00022042125558e+00	 -1.15095249964607e-02	1.31042420183562e-05		1.41441626137218e+00
2.37000000000000e+00    	-1.67574421330388e+00 	 9.99599788040400e-01   1.92751081842700e-06 	-1.00122345849455e+00	 -1.10317738584593e-02	1.20396758153328e-05		1.41512194316222e+00
2.40000000000000e+00    	-1.69697493814218e+00 	 9.99381798791675e-01   2.14985594133590e-06 	-1.00217269066714e+00	 -9.33973397096232e-03	8.63359386865641e-06		1.41578152715177e+00
2.43000000000000e+00    	-1.71821514984412e+00 	 9.99211907906076e-01   2.28617865444351e-06 	-1.00295902556100e+00	 -6.52630239031199e-03	4.22446943532496e-06		1.41632249138217e+00
2.46000000000000e+00    	-1.73946257623109e+00 	 9.99111682023293e-01   2.33581989442739e-06 	-1.00348217332255e+00	 -2.81324087787550e-03	8.00189253349344e-07		1.41668076379297e+00
2.49000000000000e+00    	-1.76071388986621e+00 	 9.99096748532493e-01   2.34045615325491e-06 	-1.00366350181142e+00	 1.46379116846313e-03	2.30356773012795e-07		1.41680717373713e+00
2.52000000000000e+00    	-1.78196502640453e+00 	 9.99174693426842e-01   2.37259450788871e-06 	-1.00345746326094e+00	 5.88373078704406e-03	3.43641139534666e-06		1.41667268586426e+00
2.55000000000000e+00    	-1.80321164178044e+00 	 9.99343674513736e-01   2.50903767574927e-06 	-1.00285968804998e+00	 9.97995817494708e-03	9.85248333460393e-06		1.41627227381530e+00
2.58000000000000e+00    	-1.82444964342942e+00 	 9.99591945031801e-01   2.79861678481124e-06 	-1.00191021511234e+00	 1.32879362294120e-02	1.74546943411689e-05		1.41562729865610e+00
