0.00000000000000e+00    	0.00000000000000e+00 	 -5.87785252290000e-01  	8.09016994370000e-01    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
3.66000000000000e+00    	-2.58819479437344e+00 	 -5.90267657069716e-01   8.08741019176147e-01 	-9.95916212783842e-01	 -9.97354739083374e-03	-7.92233995068546e-04		1.41136430526210e+00
3.69000000000000e+00    	-2.60934641986931e+00 	 -5.90341971941215e-01   8.08724223102579e-01 	-9.92610839456898e-01	 3.15365389692056e-03	-7.88922204427200e-04		1.40900207471049e+00
3.72000000000000e+00    	-2.63046467487178e+00 	 -5.90130693084914e-01   8.08707262743351e-01 	-9.89835414446107e-01	 1.66145413446030e-02	-8.08398732136586e-04		1.40714279452524e+00
3.75000000000000e+00    	-2.65155511615473e+00 	 -5.89641063323527e-01   8.08689491092464e-01 	-9.87917574947487e-01	 2.89978981840094e-02	-8.64644631801763e-04		1.40599529181273e+00
3.78000000000000e+00    	-2.67262732615305e+00 	 -5.88910657921624e-01   8.08670097104453e-01 	-9.87129043798794e-01	 3.89420047598644e-02	-9.58415216581306e-04		1.40568173759410e+00
3.81000000000000e+00    	-2.69369461203327e+00 	 -5.88004740595873e-01   8.08648417180911e-01 	-9.87642490063958e-01	 4.52849906756206e-02	-1.07563138380094e-03		1.40623240452747e+00
3.84000000000000e+00    	-2.71477273585027e+00 	 -5.87010294211136e-01   8.08624214393798e-01 	-9.89492281439477e-01	 4.71991870211547e-02	-1.19198557501918e-03		1.40759516875889e+00
3.87000000000000e+00    	-2.73587772742092e+00 	 -5.86027343331366e-01   8.08597800840479e-01 	-9.92550238299085e-01	 4.42937744283422e-02	-1.28233285431826e-03		1.40965228279112e+00
3.90000000000000e+00    	-2.75702319535501e+00 	 -5.85158541528208e-01   8.08569936815441e-01 	-9.96526056179065e-01	 3.66737974510456e-02	-1.33122870013057e-03		1.41223614180955e+00
3.93000000000000e+00    	-2.77821780493162e+00 	 -5.84498194209262e-01   8.08541532394845e-01 	-1.00099664851550e+00	 2.49482599159850e-02	-1.34020485262290e-03		1.41513903986893e+00
3.96000000000000e+00    	-2.79946361598824e+00 	 -5.84121935555188e-01   8.08513263426467e-01 	-1.00546096474141e+00	 1.01849708890444e-02	-1.32846075012985e-03		1.41811750220449e+00
3.99000000000000e+00    	-2.82075574528278e+00 	 -5.84078193364242e-01   8.08485256943368e-01 	-1.00940959685672e+00	 -6.18493992688134e-03	-1.32621728018013e-03		1.42089681066593e+00
4.02000000000000e+00    	-2.84208341650396e+00 	 -5.84382364667739e-01   8.08456980600240e-01 	-1.01239437537933e+00	 -2.25044219336282e-02	-1.36301255481224e-03		1.42318329041255e+00
4.05000000000000e+00    	-2.86343203923401e+00 	 -5.85014301119472e-01   8.08427393413996e-01 	-1.01408370343956e+00	 -3.70562942639588e-02	-1.45545964383693e-03		1.42468980655055e+00
4.08000000000000e+00    	-2.88478567474377e+00 	 -5.85919315681142e-01   8.08395311522639e-01 	-1.01429432681080e+00	 -4.82403238887966e-02	-1.59946828179293e-03		1.42517460984549e+00
4.11000000000000e+00    	-2.90612920087132e+00 	 -5.87012556096344e-01   8.08359854254459e-01 	-1.01299765376293e+00	 -5.47433687540837e-02	-1.77040594557541e-03		1.42448735244963e+00
4.14000000000000e+00    	-2.92744968386658e+00 	 -5.88186325196690e-01   8.08320796945099e-01 	-1.01030586673831e+00	 -5.56857030991029e-02	-1.93169986538705e-03		1.42261118137032e+00
4.17000000000000e+00    	-2.94873681928977e+00 	 -5.89319783533744e-01   8.08278682429573e-01 	-1.00644745881079e+00	 -5.07294544058434e-02	-2.04906461195485e-03		1.41968805149469e+00
4.20000000000000e+00    	-2.96998268827654e+00 	 -5.90290387650844e-01   8.08234625584754e-01 	-1.00174214411558e+00	 -4.01381185672761e-02	-2.10508483625618e-03		1.41601653353397e+00
