0.00000000000000e+00    	0.00000000000000e+00 	 6.12323399570000e-17  	1.00000000000000e+00    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
5.70000000000000e-01    	-4.03051721294268e-01 	 -6.12204451948090e-06   9.99999999891804e-01 	-9.99982590983243e-01	 6.22396114883576e-05	-1.11786783860557e-09		1.41420125376247e+00
6.00000000000000e-01    	-4.24264648440189e-01 	 -4.14689649924530e-06   9.99999999868562e-01 	-9.99964864974398e-01	 1.25607241127292e-04	-1.13344166883548e-09		1.41418872395464e+00
6.30000000000000e-01    	-4.45477376130163e-01 	 -7.46448627390735e-07   9.99999999838746e-01 	-9.99945326898234e-01	 1.95445616928841e-04	-1.85967442731110e-09		1.41417491668627e+00
6.60000000000000e-01    	-4.66689896821111e-01 	 4.13267477429767e-06   9.99999999778972e-01 	-9.99926311289409e-01	 2.63409105053843e-04	-4.09456542908800e-09		1.41416148207805e+00
6.90000000000000e-01    	-4.87902231264704e-01 	 1.03417740398247e-05   9.99999999649328e-01 	-9.99910775068263e-01	 3.18931189329820e-04	-8.52995147320658e-09		1.41415050819024e+00
7.20000000000000e-01    	-5.09114433662516e-01 	 1.74935243427571e-05   9.99999999400311e-01 	-9.99901995631582e-01	 3.50303226346129e-04	-1.53015603010554e-08		1.41414430790509e+00
7.50000000000000e-01    	-5.30326592917993e-01 	 2.49531785640026e-05   9.99999998988948e-01 	-9.99903144957464e-01	 3.46193632105259e-04	-2.36177226950445e-08		1.41414511954957e+00
7.80000000000000e-01    	-5.51538828848506e-01 	 3.18654492161604e-05   9.99999998399393e-01 	-9.99916781313615e-01	 2.97459341620795e-04	-3.17582865825115e-08		1.41415475038436e+00
8.10000000000000e-01    	-5.72751282790637e-01 	 3.72210296441222e-05   9.99999997657494e-01 	-9.99944321476103e-01	 1.99026980460117e-04	-3.76638171638501e-08		1.41417420626458e+00
8.40000000000000e-01    	-5.93964102810170e-01 	 3.99613790442728e-05   9.99999996826579e-01 	-9.99985571264894e-01	 5.15691928504514e-05	-4.00829161613283e-08		1.41420336069370e+00
8.70000000000000e-01    	-6.15177424618739e-01 	 3.91142966704182e-05   9.99999995976151e-01 	-1.00003839717546e+00	 -1.37316567458007e-04	-3.98826644104467e-08		1.41424072020328e+00
9.00000000000000e-01    	-6.36391350166768e-01 	 3.39467645158282e-05   9.99999995127053e-01 	-1.00009861460073e+00	 -3.52695993956960e-04	-4.08281317188692e-08		1.41428333912295e+00
9.30000000000000e-01    	-6.57605926576405e-01 	 2.41164724334127e-05   9.99999994192260e-01 	-1.00016014805846e+00	 -5.72854271263626e-04	-4.91162531140046e-08		1.41432692469823e+00
9.60000000000000e-01    	-6.78821128462923e-01 	 9.80026467956552e-06   9.99999992944175e-01 	-1.00021548753988e+00	 -7.70914604890769e-04	-7.13459277172633e-08		1.41436615337895e+00
9.90000000000000e-01    	-7.00036846678166e-01 	 -8.22278675770657e-06   9.99999991038448e-01 	-1.00025642613807e+00	 -9.17474868918419e-04	-1.11366164848526e-07		1.41439519222552e+00
1.02000000000000e+00    	-7.21252886069342e-01 	 -2.85534066631792e-05   9.99999988105862e-01 	-1.00027502248598e+00	 -9.84066293065041e-04	-1.67275301594955e-07		1.41440838833621e+00
1.05000000000000e+00    	-7.42468974020296e-01 	 -4.92332146632747e-05   9.99999983891023e-01 	-1.00026469279676e+00	 -9.47091803126969e-04	-2.30295422863141e-07		1.41440105791771e+00
1.08000000000000e+00    	-7.63684780417367e-01 	 -6.78903070009795e-05   9.99999978381939e-01 	-1.00022130671478e+00	 -7.91782451642185e-04	-2.86909210682103e-07		1.41437028013380e+00
1.11000000000000e+00    	-7.84899948366109e-01 	 -8.19641432614033e-05   9.99999971856894e-01 	-1.00014414307474e+00	 -5.15638525815514e-04	-3.24407783614453e-07		1.41431558458850e+00
