0.00000000000000e+00    	0.00000000000000e+00 	 1.54508497190000e+00  	-4.75528258150000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.14000000000000e+00    	4.55691801746964e-06 	 1.54580148057059e+00   -4.75528249887831e+00 	7.97229540938598e-05	 1.08638545703567e-03	5.95775443565863e-07		1.00000059329456e+00
1.17000000000000e+00    	7.08116589368270e-06 	 1.54582418685351e+00   -4.75528248062416e+00 	8.83155021750409e-05	 4.04063843419855e-04	6.17286129896823e-07		1.00000008553380e+00
1.20000000000000e+00    	9.83927071023322e-06 	 1.54582437848362e+00   -4.75528246205220e+00 	9.52511686482892e-05	 -4.12586034071854e-04	6.17948022742607e-07		1.00000008965020e+00
1.23000000000000e+00    	1.27760180201292e-05 	 1.54579824611235e+00   -4.75528244365885e+00 	1.00165326077412e-04	 -1.34752251955917e-03	6.07744869879021e-07		1.00000091292478e+00
1.26000000000000e+00    	1.58253668880065e-05 	 1.54574258342279e+00   -4.75528242551348e+00 	1.02697080349607e-04	 -2.37657184998079e-03	6.05228327713517e-07		1.00000282931640e+00
1.29000000000000e+00    	1.89101881693703e-05 	 1.54565503079543e+00   -4.75528240700302e+00 	1.02463622549248e-04	 -3.46751787280223e-03	6.37148171778618e-07		1.00000601707160e+00
1.32000000000000e+00    	2.19412153718749e-05 	 1.54553431005129e+00   -4.75528238661244e+00 	9.90349344943601e-05	 -4.58061087469904e-03	7.36390534580504e-07		1.00001049584714e+00
1.35000000000000e+00    	2.48153730583584e-05 	 1.54538043730924e+00   -4.75528236179409e+00 	9.19194750272638e-05	 -5.66951687416996e-03	9.38133157884040e-07		1.00001607580661e+00
1.38000000000000e+00    	2.74139866032125e-05 	 1.54519490066317e+00   -4.75528232897643e+00 	8.05724784057545e-05	 -6.68270820634326e-03	1.27446084557156e-06		1.00002233229189e+00
1.41000000000000e+00    	2.96017119383487e-05 	 1.54498078971016e+00   -4.75528228375025e+00 	6.44371327724802e-05	 -7.56527380109730e-03	1.76806016950322e-06		1.00002861835197e+00
1.44000000000000e+00    	3.12272773752219e-05 	 1.54474286498130e+00   -4.75528222124593e+00 	4.30248190001416e-05	 -8.26110426652726e-03	2.42596417085216e-06		1.00003412326816e+00
