0.00000000000000e+00    	0.00000000000000e+00 	 3.00000000000000e+00  	-7.34788079490000e-16    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
9.30000000000000e-01    	-1.63712971070830e-05 	 2.99948489162985e+00   -7.34788082927581e-16 	2.76057548594226e-05	 -4.16988943778532e-03	-6.38574159895701e-23		1.00000869433220e+00
9.60000000000000e-01    	-1.50708764853023e-05 	 2.99935512214130e+00   -7.34788085317507e-16 	5.98500844541041e-05	 -4.46057554643820e-03	-9.67268052698807e-23		1.00000995010862e+00
9.90000000000000e-01    	-1.27391834924720e-05 	 2.99921870160788e+00   -7.34788088800534e-16 	9.61982138603529e-05	 -4.60710255871920e-03	-1.36493147483001e-22		1.00001061726768e+00
1.02000000000000e+00    	-9.26901281334230e-06 	 2.99908050532170e+00   -7.34788093555535e-16 	1.35540843864793e-04	 -4.57308606373733e-03	-1.81069252970802e-22		1.00001046568897e+00
1.05000000000000e+00    	-4.59048186465707e-06 	 2.99894645954424e+00   -7.34788099679643e-16 	1.76511060395576e-04	 -4.32522002324242e-03	-2.27119762503497e-22		1.00000936929831e+00
1.08000000000000e+00    	1.32244279408970e-06 	 2.99882341470149e+00   -7.34788107154862e-16 	2.17567445199678e-04	 -3.83559252560383e-03	-2.70386904248338e-22		1.00000737952558e+00
1.11000000000000e+00    	8.44810919104127e-06 	 2.99871894832027e+00   -7.34788115829540e-16 	2.57087902870737e-04	 -3.08403498663067e-03	-3.06357335356519e-22		1.00000478867153e+00
1.14000000000000e+00    	1.67161122067955e-05 	 2.99864109853154e+00   -7.34788125424776e-16 	2.93457589968983e-04	 -2.06037885139262e-03	-3.31248139016621e-22		1.00000216563684e+00
1.17000000000000e+00    	2.60085522782017e-05 	 2.99859803288296e+00   -7.34788135574048e-16 	3.25133381880356e-04	 -7.66484845937213e-04	-3.43212116113374e-22		1.00000034660531e+00
1.20000000000000e+00    	3.61626850764244e-05 	 2.99859766131020e+00   -7.34788145900122e-16 	3.50670175750936e-04	 7.82092752436268e-04	-3.43581744697259e-22		1.00000036731926e+00
1.23000000000000e+00    	4.69736814391783e-05 	 2.99864720621683e+00   -7.34788156126850e-16 	3.68701340634792e-04	 2.55493979084351e-03	-3.37904658449593e-22		1.00000333182346e+00
1.26000000000000e+00    	5.81961385987652e-05 	 2.99875274648499e+00   -7.34788166215389e-16 	3.77876282027018e-04	 4.50623466128354e-03	-3.36490015501017e-22		1.00001022441838e+00
