0.00000000000000e+00    	0.00000000000000e+00 	 -9.27050983120000e-01  	2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.47000000000000e+00    	-2.10392102880420e-05 	 -9.26955793244149e-01   2.85316960406824e+00 	1.80948130330652e-05	 1.38832565999490e-03	4.01171524993933e-07		1.00000096388740e+00
1.50000000000000e+00    	-2.01041989495757e-05 	 -9.26913632043292e-01   2.85316961779171e+00 	4.45685733525336e-05	 1.41403437790128e-03	5.15550628174531e-07		1.00000100073942e+00
1.53000000000000e+00    	-1.83497742142114e-05 	 -9.26871487749040e-01   2.85316963507059e+00 	7.25694390274542e-05	 1.38614599136693e-03	6.36795762587051e-07		1.00000096333326e+00
1.56000000000000e+00    	-1.57446491389425e-05 	 -9.26831054653803e-01   2.85316965597596e+00 	1.01104718645588e-04	 1.29919394647415e-03	7.55669052449736e-07		1.00000084906346e+00
1.59000000000000e+00    	-1.22893415261877e-05 	 -9.26794162671799e-01   2.85316968028703e+00 	1.29052353318223e-04	 1.14967054389226e-03	8.62207140914717e-07		1.00000066919858e+00
1.62000000000000e+00    	-8.01951644379130e-06 	 -9.26762712800211e-01   2.85316970749430e+00 	1.55197985956018e-04	 9.36402208456831e-04	9.47438995380068e-07		1.00000045046810e+00
1.65000000000000e+00    	-3.00811988143084e-06 	 -9.26738602304502e-01   2.85316973685854e+00 	1.78278222089162e-04	 6.60855610620506e-04	1.00535467140273e-06		1.00000023425711e+00
1.68000000000000e+00    	2.63385757979097e-06 	 -9.26723642019837e-01   2.85316976752896e+00 	1.97028420611851e-04	 3.27353745822049e-04	1.03482613559177e-06		1.00000007299087e+00
1.71000000000000e+00    	8.75809763251575e-06 	 -9.26719468754174e-01   2.85316979871392e+00 	2.10233328197940e-04	 -5.68165062239899e-05	1.04112205643347e-06		1.00000002371363e+00
1.74000000000000e+00    	1.51812130171175e-05 	 -9.26727456283817e-01   2.85316982988631e+00 	2.16778983291914e-04	 -4.81420341548211e-04	1.03665264906879e-06		1.00000013937986e+00
1.77000000000000e+00    	2.16885651237398e-05 	 -9.26748628818253e-01   2.85316986099585e+00 	2.15704508689628e-04	 -9.33425057053974e-04	1.04064055958722e-06		1.00000045890582e+00
1.80000000000000e+00    	2.80396189225276e-05 	 -9.26783581050530e-01   2.85316989265300e+00 	2.06252609545014e-04	 -1.39728939712426e-03	1.07754196091947e-06		1.00000099747898e+00
1.83000000000000e+00    	3.39747802386394e-05 	 -9.26832408979471e-01   2.85316992624660e+00 	1.87917713097199e-04	 -1.85539153826260e-03	1.17422889080395e-06		1.00000173889459e+00
1.86000000000000e+00    	3.92236283709808e-05 	 -9.26894655574436e-01   2.85316996396104e+00 	1.60490654772045e-04	 -2.28858866475078e-03	1.35616704807053e-06		1.00000263169512e+00
1.89000000000000e+00    	4.35144212414581e-05 	 -9.26969275043134e-01   2.85317000866922e+00 	1.24098588207949e-04	 -2.67689456065836e-03	1.64304942687510e-06		1.00000359057738e+00
1.92000000000000e+00    	4.65847046893487e-05 	 -9.27054618957621e-01   2.85317006369422e+00 	7.92383737058509e-05	 -3.00025523464659e-03	2.04453503396614e-06		1.00000450389704e+00
1.95000000000000e+00    	4.81927969892146e-05 	 -9.27148446801566e-01   2.85317013245424e+00 	2.68011335497964e-05	 -3.23939659853690e-03	2.55685239073605e-06		1.00000524719381e+00
1.98000000000000e+00    	4.81298413547112e-05 	 -9.27247962640374e-01   2.85317021802812e+00 	-3.19149393798497e-05	 -3.37671293294075e-03	3.16102495056132e-06		1.00000570159314e+00
2.01000000000000e+00    	4.62320241618271e-05 	 -9.27349878610767e-01   2.85317032270007e+00 	-9.52069200596059e-05	 -3.39716057524626e-03	3.82333926839830e-06		1.00000577487280e+00
2.04000000000000e+00    	4.23924508795324e-05 	 -9.27450504811888e-01   2.85317044755680e+00 	-1.60988233842144e-04	 -3.28911821459952e-03	4.49840617905504e-06		1.00000542210334e+00
2.07000000000000e+00    	3.65720664638597e-05 	 -9.27545863996322e-01   2.85317059221561e+00 	-2.26831817090274e-04	 -3.04517359788235e-03	5.13478358684795e-06		1.00000466226977e+00
2.10000000000000e+00    	2.88089180758238e-05 	 -9.27631828252995e-01   2.85317075475413e+00 	-2.90037837335294e-04	 -2.66279651788339e-03	5.68268374553336e-06		1.00000358731333e+00
2.13000000000000e+00    	1.92250041778290e-05 	 -9.27704273695115e-01   2.85317093189155e+00 	-3.47726954628299e-04	 -2.14485979355302e-03	6.10284467068933e-06		1.00000236068462e+00
2.16000000000000e+00    	8.02995444879436e-06 	 -9.27759248068310e-01   2.85317111943779e+00 	-3.96958000784057e-04	 -1.49997362279873e-03	6.37528225525636e-06		1.00000120376786e+00
2.19000000000000e+00    	-4.47914423836849e-06 	 -9.27793145231439e-01   2.85317131298482e+00 	-4.34866398092752e-04	 -7.42604178492123e-04	6.50643371938892e-06		1.00000037030597e+00
2.22000000000000e+00    	-1.79223093751012e-05 	 -9.27802879688508e-01   2.85317150876966e+00 	-4.58816898545220e-04	 1.07045465794807e-04	6.53321677696276e-06		1.00000011100717e+00
