y	z	phi	r	period	thetamin	thetamax
2.39086727540000e+00	2.09173782590000e-01	8.72664625986317e-02	2.39999999997951e+00	1.70000000000000e+03	3.12476758326513e+00	2.12398336445484e-02
2.44067701030000e+00	2.13531569730000e-01	8.72664625998812e-02	2.44999999997516e+00	1.66000000000000e+03	3.12977844787736e+00	2.33769122041229e-02
2.49048674520000e+00	2.17889356870000e-01	8.72664626010807e-02	2.49999999997082e+00	1.62000000000000e+03	3.12498499737293e+00	2.04808829789490e-02
2.54029648010000e+00	2.22247144010000e-01	8.72664626022331e-02	2.54999999996648e+00	1.58000000000000e+03	3.13054199291138e+00	2.29327254233361e-02
2.59010621500000e+00	2.26604931140000e-01	8.72664625995097e-02	2.59999999996127e+00	1.54000000000000e+03	3.12917915212715e+00	1.95253851494473e-02
2.63991594990000e+00	2.30962718280000e-01	8.72664626006483e-02	2.64999999995693e+00	1.54000000000000e+03	3.12586085002239e+00	2.25848466402229e-02
2.68972568480000e+00	2.35320505420000e-01	8.72664626017448e-02	2.69999999995258e+00	1.50000000000000e+03	3.12354965383427e+00	2.22663964228954e-02
2.73953541980000e+00	2.39678292560000e-01	8.72664625996320e-02	2.75000000004786e+00	1.48000000000000e+03	3.12791761231371e+00	2.38428032814486e-02
2.78934515470000e+00	2.44036079690000e-01	8.72664625971496e-02	2.80000000004265e+00	1.44000000000000e+03	3.12644683920737e+00	1.96110734015075e-02
2.83915488960000e+00	2.48393866830000e-01	8.72664625982497e-02	2.85000000003831e+00	1.42000000000000e+03	3.12359087333780e+00	2.25631151321519e-02
2.88896462450000e+00	2.52751653970000e-01	8.72664625993119e-02	2.90000000003396e+00	1.40000000000000e+03	3.12793896640645e+00	1.72197202628873e-02
2.93877435940000e+00	2.57109441110000e-01	8.72664626003380e-02	2.95000000002962e+00	1.40000000000000e+03	3.13312546651439e+00	2.17889173581586e-02
2.98858409430000e+00	2.61467228240000e-01	8.72664625980093e-02	3.00000000002441e+00	1.38000000000000e+03	3.12921173922488e+00	1.89672272955730e-02
3.03839382920000e+00	2.65825015380000e-01	8.72664625990232e-02	3.05000000002007e+00	1.34000000000000e+03	3.12875852687353e+00	2.19876989123042e-02
3.08820356410000e+00	2.70182802520000e-01	8.72664626000043e-02	3.10000000001573e+00	1.34000000000000e+03	3.12529546043030e+00	1.74172287944912e-02
3.13801329900000e+00	2.74540589660000e-01	8.72664626009544e-02	3.15000000001138e+00	1.32000000000000e+03	3.12805833886980e+00	1.85208358159145e-02
3.18782303390000e+00	2.78898376790000e-01	8.72664625987616e-02	3.20000000000617e+00	1.34000000000000e+03	3.13335025606512e+00	1.50576820371993e-02
3.23763276880000e+00	2.83256163930000e-01	8.72664625997015e-02	3.25000000000183e+00	1.34000000000000e+03	3.13163449178035e+00	1.53973949397354e-02
3.28744250370000e+00	2.87613951070000e-01	8.72664626006129e-02	3.29999999999749e+00	1.34000000000000e+03	3.13042938111891e+00	1.97722903969147e-02
3.33725223860000e+00	2.91971738200000e-01	8.72664625985234e-02	3.34999999999227e+00	1.18000000000000e+03	3.12594546605423e+00	2.21135734480306e-02
8.86326977710000e-01	1.56283359900000e-01	1.74532925199364e-01	8.99999999998987e-01	1.02200000000000e+04	2.99016279397331e+00	1.18306002470280e-01
9.35567365360000e-01	1.64965768780000e-01	1.74532925196010e-01	9.49999999997804e-01	9.80000000000000e+03	2.99289362893993e+00	1.24091940694923e-01
9.84807753010000e-01	1.73648177670000e-01	1.74532925202839e-01	9.99999999998359e-01	9.42000000000000e+03	2.99494001139344e+00	1.23735189166581e-01
1.03404814070000e+00	1.82330586550000e-01	1.74532925193024e-01	1.05000000003657e+00	9.08000000000000e+03	2.99684707023499e+00	1.22897773601606e-01
1.08328852830000e+00	1.91012995430000e-01	1.74532925198309e-01	1.09999999998615e+00	8.82000000000000e+03	2.99955934800965e+00	1.16369864664892e-01
1.13252891600000e+00	1.99695404320000e-01	1.74532925196598e-01	1.15000000003594e+00	8.44000000000000e+03	3.00270327086992e+00	1.17188915784918e-01
1.18176930360000e+00	2.08377813200000e-01	1.74532925201293e-01	1.19999999998552e+00	8.26000000000000e+03	3.00313326166792e+00	1.14489228447382e-01
1.23100969130000e+00	2.17060222080000e-01	1.74532925191721e-01	1.25000000003358e+00	7.98000000000000e+03	3.00708414943784e+00	1.16385209395468e-01
1.28025007890000e+00	2.25742630970000e-01	1.74532925203818e-01	1.29999999998489e+00	7.84000000000000e+03	3.00981934960523e+00	1.11765851720179e-01
1.32949046660000e+00	2.34425039850000e-01	1.74532925194862e-01	1.35000000003295e+00	7.68000000000000e+03	3.01365059538835e+00	1.10748001988609e-01
1.37873085420000e+00	2.43107448730000e-01	1.74532925198948e-01	1.39999999998253e+00	7.60000000000000e+03	3.01907265850171e+00	1.05318408827436e-01
1.42797124190000e+00	2.51789857620000e-01	1.74532925197569e-01	1.45000000003232e+00	7.48000000000000e+03	3.02105505204900e+00	1.02657701569602e-01
1.47721162950000e+00	2.60472266500000e-01	1.74532925201293e-01	1.49999999998190e+00	7.36000000000000e+03	3.02557314094483e+00	9.90956071733812e-02
1.52645201720000e+00	2.69154675380000e-01	1.74532925193574e-01	1.55000000002996e+00	7.34000000000000e+03	3.03068525543449e+00	9.68984117376419e-02
1.57569240480000e+00	2.77837084270000e-01	1.74532925203345e-01	1.59999999998127e+00	7.28000000000000e+03	3.03477767801009e+00	8.99002984037934e-02
1.62493279250000e+00	2.86519493150000e-01	1.74532925196031e-01	1.65000000002933e+00	7.30000000000000e+03	3.04138473695989e+00	8.53451998281387e-02
1.67417318010000e+00	2.95201902030000e-01	1.74532925199362e-01	1.69999999997890e+00	7.28000000000000e+03	3.04807200851886e+00	7.73866468246269e-02
1.72341356780000e+00	3.03884310920000e-01	1.74532925198208e-01	1.75000000002870e+00	7.36000000000000e+03	3.05459743406419e+00	7.22524086650102e-02
1.77265395540000e+00	3.12566719800000e-01	1.74532925201293e-01	1.79999999997828e+00	7.46000000000000e+03	3.06336308841998e+00	6.63958984757118e-02
1.82189434310000e+00	3.21249128680000e-01	1.74532925194826e-01	1.85000000002634e+00	7.62000000000000e+03	3.07254789060200e+00	5.35548168339049e-02
1.87113473070000e+00	3.29931537570000e-01	1.74532925203021e-01	1.89999999997765e+00	7.92000000000000e+03	3.08427823138507e+00	4.53637520335672e-02
1.92037511840000e+00	3.38613946450000e-01	1.74532925196841e-01	1.95000000002571e+00	8.54000000000000e+03	3.10162120915736e+00	2.52282635776760e-02
1.96961550600000e+00	3.47296355330000e-01	1.74532925199652e-01	1.99999999997528e+00	4.24000000000000e+03	3.12946700799979e+00	8.00149440024712e-03
2.01885589370000e+00	3.55978764220000e-01	1.74532925198659e-01	2.05000000002508e+00	3.16000000000000e+03	3.13288827298399e+00	5.37671612568334e-03
2.06809628130000e+00	3.64661173100000e-01	1.74532925201293e-01	2.09999999997466e+00	2.84000000000000e+03	3.13580115123238e+00	2.85633359068262e-03
2.11733666900000e+00	3.73343581980000e-01	1.74532925195728e-01	2.15000000002271e+00	2.66000000000000e+03	3.13924774825262e+00	3.35000004186632e-03
2.16657705660000e+00	3.82025990870000e-01	1.74532925202785e-01	2.19999999997403e+00	2.48000000000000e+03	3.13877578796991e+00	2.46181032034805e-03
2.21581744430000e+00	3.90708399750000e-01	1.74532925197434e-01	2.25000000002209e+00	2.36000000000000e+03	3.13874750959113e+00	4.29168482483085e-03
2.26505783190000e+00	3.99390808630000e-01	1.74532925199866e-01	2.29999999997166e+00	2.26000000000000e+03	3.13749128908153e+00	4.07675519498142e-03
2.31429821960000e+00	4.08073217520000e-01	1.74532925198995e-01	2.35000000002146e+00	2.18000000000000e+03	3.13689485768658e+00	7.16430217697530e-03
2.36353860720000e+00	4.16755626400000e-01	1.74532925201293e-01	2.39999999997104e+00	2.08000000000000e+03	3.13697215029137e+00	9.13282105296345e-03
